days,views,url,name
15 Days,2023,https://www.triphobo.com/tripplans/europe-trip-from-london-54f92599fbc2e5f95700015a,15 Day Trip to Europe from London
15 Days,1524,https://www.triphobo.com/tripplans/europe-trip-from-bangalore-5506bc87fbc2e5b12e0000cc,"Trip to Paris, Bruges, Amsterdam, Prague"
15 Days,1391,https://www.triphobo.com/tripplans/europe-trip-plan-555b24fcf9c2e59849000196,"Trip to Vienna, Amsterdam, Prague, Dresden, Budapest"
17 Days,1378,https://www.triphobo.com/tripplans/north-america-europe-africa-trip-from-rabat-558b8455fac2e50e6b000d57,"Trip to Las Vegas, Kingston, Miami, Casablanca, Amsterdam, Marrakesh, Lucea"
13 Days,1260,https://www.triphobo.com/tripplans/europe-trip-from-landstuhl-55183215fbc2e5341f00006f,"Trip to Vienna, Brussels, Amsterdam, Lucerne"
10 Days,1211,https://www.triphobo.com/tripplans/amsterdam-paris-zurich-trip-from-dubai-550e57ccfbc2e522300000c9,"Trip to Paris, Zurich, Amsterdam"
15 Days,1090,https://www.triphobo.com/tripplans/europe-trip-from-boston-55a43bc2f9c2e59a710001e4,"Trip to Bergen, Stockholm, Amsterdam, Oslo, Copenhagen, Stavanger"
17 Days,1027,https://www.triphobo.com/tripplans/europe-trip-from-dubai-554b19dafac2e5c951000064,"Trip to Paris, Vienna, Amsterdam, Interlaken"
3 Days,1018,https://www.triphobo.com/tripplans/amsterdam-itinerary-53061046e705455b36000000,3 Day Suggested Itinerary To Amsterdam
15 Days,1015,https://www.triphobo.com/tripplans/europe-trip-from-lexington-55399fedf9c2e5f01f000b5f,"Trip to Vienna, Bruges, Amsterdam, Prague, Budapest"
15 Days,1007,https://www.triphobo.com/tripplans/europe-trip-from-montreal-553aaf96fac2e52649000bf9,"Trip to Berlin, London, Barcelona, Amsterdam, Mykonos"
15 Days,952,https://www.triphobo.com/tripplans/europe-trip-from-boston-55a44111dd2a9e246f0000cc,"Trip to Bergen, Stockholm, Amsterdam, Oslo, Copenhagen, Stavanger"
11 Days,944,https://www.triphobo.com/tripplans/brussels-amsterdam-trip-from-geneva-55111c190c1d0a595d000374,"Trip to Brussels, Amsterdam"
10 Days,939,https://www.triphobo.com/tripplans/europe-trip-from-zurich-54eef8ec0c1d0a2e180000a9,"Trip to Berlin, Vienna, Amsterdam, Prague, Cologne"
16 Days,928,https://www.triphobo.com/tripplans/europe-asia-trip-from-bangkok-55bf81f0531f71e4040007c2,"Trip to London, Amsterdam, Antalya, Palma De Mallorca, Catania"
11 Days,868,https://www.triphobo.com/tripplans/brussels-amsterdam-trip-from-geneva-551132def9c2e5b67e0000c8,"Trip to Brussels, Amsterdam"
10 Days,862,https://www.triphobo.com/tripplans/amsterdam-trip-plan-550e1bf4fbc2e5dc1e000818,Trip to Amsterdam
