url,views,days,name
https://www.triphobo.com/tripplans/europe-trip-from-lisbon-54e207bcf9c2e52c14000223,2323,20 Days,20 Day Trip to Europe from Lisbon
https://www.triphobo.com/tripplans/europe-trip-from-burlington-551c24a1fbc2e5342600054a,2043,20 Days,20 Day Trip to Europe from Burlington
https://www.triphobo.com/tripplans/europe-trip-from-atlanta-54fc6561fbc2e58c3f000123,1946,20 Days,"Trip to Paris, London, Athens, Dublin"
https://www.triphobo.com/tripplans/europe-trip-from-atlanta-54fc663ffbc2e57e1b000292,1898,20 Days,"Trip to Paris, London, Athens, Dublin"
https://www.triphobo.com/tripplans/greece-turkey-trip-from-singapore-54ca0846f9c2e5da59000113,1568,14 Days,"Trip to Athens, Istanbul, Santorini, Mykonos"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-sydney-55558cedf9c2e5497d000cfc,1514,20 Days,"Trip to Paris, Rome, Vienna, London, Sydney, Athens, Dublin, Dusseldorf, Copenhagen, Warsaw"
https://www.triphobo.com/tripplans/athens-2-days-itinerary,1509,2 Days,The Wonder Itself - Athens
https://www.triphobo.com/tripplans/europe-trip-from-frankfurt-5580ac9ffac2e57e4500035e,1421,20 Days,20 Day Trip to Europe from Frankfurt
https://www.triphobo.com/tripplans/europe-trip-from-melbourne-5573e9bbf9c2e50f15000292,1392,19 Days,"Trip to Berlin, Munich, Athens, Barcelona, Amsterdam, Prague, Thessaloniki, Budapest, Santorini, Mykonos"
https://www.triphobo.com/tripplans/europe-trip-from-dublin-55ac5dce00fc947e5c000651,1378,20 Days,"Trip to Paris, Rome, Venice, London, Florence, Athens, Barcelona, Madrid, Stockholm, Amsterdam"
https://www.triphobo.com/tripplans/europe-trip-from-los-angeles-5510653e0c1d0a0b15000150,1231,16 Days,"Trip to Athens, Stockholm, Prague, Copenhagen, Budapest, Mykonos"
https://www.triphobo.com/tripplans/greece-turkey-trip-plan-559d8327a746cb9a05000390,1227,20 Days,"Trip to Athens, Istanbul, Santorini, Crete, Mykonos"
https://www.triphobo.com/tripplans/europe-asia-trip-from-new-york-city-550095f7f9c2e5965f00036e,1179,14 Days,"Trip to Venice, Vienna, Athens, Istanbul, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-wichita-556540a4fac2e5440b00139c,1165,20 Days,"Trip to Paris, Rome, Venice, Barcelona, Madrid, Lisbon"
https://www.triphobo.com/tripplans/greece-turkey-trip-from-delhi-55824e58fac2e54430000bdf,1160,13 Days,"Trip to Athens, Istanbul, Ankara, Santorini, Mykonos, Pamukkale"
https://www.triphobo.com/tripplans/greece-turkey-trip-from-mumbai-55646f5dfac2e5430b0004bb,1149,13 Days,"Trip to Athens, Istanbul, Santorini, Mykonos, Pamukkale"
https://www.triphobo.com/tripplans/europe-asia-trip-from-new-york-city-557caa4efac2e525660007ab,1110,15 Days,"Trip to Rome, Nice, Athens, Istanbul, Ibiza, Positano"
