url,views,days,name
https://www.triphobo.com/tripplans/austin/itinerary-from-austin-578f69f55fec371d64000323,59586,5 Days,Austin Itinerary 4 Days
https://www.triphobo.com/tripplans/austin/itinerary-from-austin-578f69ec5fec37d669000360,51792,3 Days,Austin Itinerary 2 Days
https://www.triphobo.com/tripplans/austin/itinerary-from-austin-578f6a025fec372864000418,50113,7 Days,Austin Itinerary 6 Days
https://www.triphobo.com/tripplans/united-states-trip-from-nashville-551d4069f9c2e5e30400022b,1381,20 Days,"Trip to Austin, New Orleans, Los Angeles, Houston"
https://www.triphobo.com/tripplans/los-angeles-austin-miami-trip-from-richmond-55073124f9c2e5686e0000b5,1224,17 Days,"Trip to Austin, Miami, Los Angeles"
https://www.triphobo.com/tripplans/austin-dallas-trip-from-ardmore-558c855cfbc2e5710a000a7e,1199,15 Days,"Trip to Austin, Dallas"
https://www.triphobo.com/tripplans/united-states-trip-from-bradenton-55a527b0fbc2e552110002c9,1196,20 Days,"Trip to Albuquerque, Austin, New Orleans, Seattle, Los Angeles, San Francisco, Phoenix, Portland"
https://www.triphobo.com/tripplans/austin-washington-d-c-minneapolis-trip-from-long-beach-5545656bfbc2e5f8700005b2,1113,20 Days,"Trip to Austin, Washington D. C., Minneapolis"
https://www.triphobo.com/tripplans/austin-trip-from-san-francisco-5497c7650c1d0abe5c0014ce,888,5 Days,Trip to Austin
https://www.triphobo.com/tripplans/united-states-itinerary-5648c68e8527a5cf7d000439,873,47 Days,"Trip to Las Vegas, Austin, Miami, Washington D. C., Los Angeles, New York City, San Francisco, Houston, Boston, Virginia Beach"
https://www.triphobo.com/tripplans/north-america-europe-itinerary-from-san-francisco-569886f51969286406000026,864,57 Days,"Trip to Berlin, Rome, Austin, London, Los Angeles, Amsterdam, Budapest, Portland, Topeka"
https://www.triphobo.com/tripplans/united-states-trip-from-toledo-559c5984fbc2e56c34000c1d,826,13 Days,dream trip
https://www.triphobo.com/tripplans/united-states-trip-from-winnipeg-55be6922521f717b1500039c,822,17 Days,"Trip to Austin, Dallas, New Orleans, San Antonio, Houston"
