url,views,days,name
https://www.triphobo.com/tripplans/berlin-itinerary-3-days,236231,3 Days,Berlin Itinerary 3 Days
https://www.triphobo.com/tripplans/berlin-itinerary-5-days,93591,5 Days,Berlin Itinerary 5 Days
https://www.triphobo.com/tripplans/berlin-itinerary-6-days,63876,6 Days,Berlin Itinerary 6 Days
https://www.triphobo.com/tripplans/berlin-itinerary-1-day,50844,1 Day,Berlin Itinerary 1 Day - Exploring Berlin in 24 Hours
https://www.triphobo.com/tripplans/europe-asia-trip-from-minneapolis-54cfa5ece705456f3a0000cc,2585,20 Days,"20 Day Trip to Europe, Asia from Minneapolis"
https://www.triphobo.com/tripplans/europe-trip-from-london-55185b7dfbc2e56d1f00021c,2380,20 Days,"Trip to Paris, Berlin, Rome, Venice, Florence, Verona, Lyon, Monaco, Geneva, Barcelona"
https://www.triphobo.com/tripplans/france-italy-germany-trip-from-vancouver-551bacfafbc2e57320000bd0,2242,20 Days,"20 Day Trip to France, Italy, Germany from Vancouver"
https://www.triphobo.com/tripplans/europe-trip-from-london-5523d032e70545dc51000142,2128,20 Days,20 Day Trip to Europe from London
https://www.triphobo.com/tripplans/europe-trip-from-dublin-55087c02f9c2e57e180000b3,2086,20 Days,"Trip to Paris, Berlin, Rome, Venice, Vienna, London, Florence, Nice"
https://www.triphobo.com/tripplans/europe-trip-from-london-54f92599fbc2e5f95700015a,2024,15 Days,15 Day Trip to Europe from London
https://www.triphobo.com/tripplans/italy-france-germany-trip-from-chicago-54f29c54fbc2e57b210000ed,1975,20 Days,"Trip to Paris, Berlin, Rome, Florence, Munich, Nice, Dresden"
https://www.triphobo.com/tripplans/europe-trip-from-delhi-559c33ecfac2e56b38000c8a,1780,20 Days,"Trip to Berlin, Vienna, Stockholm, Prague, Oslo, Helsinki, Krakow, Copenhagen, Budapest, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-london-550fe54bfbc2e5f24a000b00,1701,17 Days,"Trip to Berlin, Salzburg, Vienna, Munich, Bruges, Athens, Zurich, Amsterdam, Dresden"
https://www.triphobo.com/tripplans/europe-trip-from-paris-55370acefbc2e51303000a06,1686,19 Days,"Trip to Berlin, Rome, Venice, Vienna, Florence, Munich, Nice, Pisa, Barcelona, Budapest"
https://www.triphobo.com/tripplans/asia-europe-north-america-trip-from-bangalore-55c109af1aa23c4f1a000c7c,1669,20 Days,"Trip to Paris, Berlin, London, New York City, Munich, Zurich, Geneva, Madrid, Dubai, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-from-bogota-552335fbf9c2e58b0d000133,1636,20 Days,"Trip to Paris, Berlin, Venice, Vienna, Cologne, Bologna, Budapest, Warsaw"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-boston-5515cbb4e70545154d0000e4,1601,17 Days,"Trip to Berlin, Vienna, Boston, Prague, Budapest"
https://www.triphobo.com/tripplans/germany-trip-from-george-town-55261c5efbc2e5ce73000ad1,1596,17 Days,17 Day Trip to Germany
https://www.triphobo.com/tripplans/europe-trip-from-london-552ba1a5fbc2e5d3680000a9,1540,16 Days,"Trip to Berlin, London, Barcelona, Grenoble"
https://www.triphobo.com/tripplans/europe-trip-from-paris-5524ae93fbc2e55542000cf5,1525,20 Days,"Trip to Berlin, Rome, Venice, London, Florence, Naples, Barcelona, Madrid, Amsterdam, Lisbon"
https://www.triphobo.com/tripplans/europe-trip-from-mumbai-558fbf2af9c2e50c56000020,1520,18 Days,"Trip to Berlin, Moscow, Hamburg, Bergen, Saint Petersburg, Stockholm, Amsterdam, Oslo, Helsinki, Copenhagen"
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-55cbf46da5e4d06c050001b5,1490,20 Days,"Trip to Paris, Berlin, Rome, London, Bruges, Brussels, Cork, Dublin, Amsterdam"
https://www.triphobo.com/tripplans/europe-asia-trip-from-salt-lake-city-55874af0fbc2e5a51c00085c,1459,20 Days,"20 Day Trip to Europe, Asia from Salt Lake City"
https://www.triphobo.com/tripplans/europe-trip-from-edinburgh-554bbc9ff9c2e5c62100041b,1451,20 Days,"Trip to Paris, Berlin, London, Barcelona, Madrid, Amsterdam, Prague, Budapest, Crete, Ibiza"
https://www.triphobo.com/tripplans/europe-trip-from-paris-5593e642fbc2e5af7400024d,1451,19 Days,"Trip to Paris, Berlin, Vienna, Munich, Geneva, Stockholm, Prague, Copenhagen, Lucerne"
https://www.triphobo.com/tripplans/europe-africa-trip-plan-5514e2adf9c2e5381d000862,1432,13 Days,"Trip to Paris, Berlin, Rome, Geneva, Barcelona, Granada, Madrid, Marrakesh, Cordoba, Marbella"
https://www.triphobo.com/tripplans/europe-trip-from-frankfurt-5580ac9ffac2e57e4500035e,1421,20 Days,20 Day Trip to Europe from Frankfurt
https://www.triphobo.com/tripplans/europe-trip-from-sydney-5525c9e2fbc2e5eb730008b4,1409,20 Days,"Trip to Paris, Berlin, Rome, London, Dublin, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-ljubljana-55d0b667900670041a0001be,1400,19 Days,"Trip to Paris, Berlin, Rome, Vienna, London, Brussels, Barcelona, Amsterdam, Prague, Copenhagen"
https://www.triphobo.com/tripplans/dublin-amsterdam-berlin-itinerary-53598810e705452776000006,1399,5 Days,Trip to Europe
https://www.triphobo.com/tripplans/europe-trip-from-melbourne-5573e9bbf9c2e50f15000292,1392,19 Days,"Trip to Berlin, Munich, Athens, Barcelona, Amsterdam, Prague, Thessaloniki, Budapest, Santorini, Mykonos"
https://www.triphobo.com/tripplans/europe-trip-from-perth-558e0399fbc2e54e3000038c,1374,20 Days,"Trip to Paris, Berlin, London, Nice, Barcelona, Amsterdam"
https://www.triphobo.com/tripplans/berlin-paris-london-trip-plan-55154548fbc2e5e4350001bf,1351,14 Days,"Trip to Paris, Berlin, London"
https://www.triphobo.com/tripplans/europe-trip-from-seville-55cf77e7a6e4d0bd4d0005a1,1349,18 Days,"Trip to Paris, Berlin, Venice, Vienna, Florence, Brussels, Barcelona, Amsterdam, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-new-york-city-5501d17ffbc2e5396000061e,1345,16 Days,"Trip to Berlin, Prague, Zagreb, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-amsterdam-5552b201fac2e59a19000a52,1293,20 Days,"Trip to Paris, Berlin, Venice, Salzburg, Munich, Lyon, Bruges, Monaco, Amsterdam, Dusseldorf"
https://www.triphobo.com/tripplans/europe-trip-from-singapore-55b88a541aa23c4e340000dc,1292,20 Days,London to Rome 1
https://www.triphobo.com/tripplans/europe-trip-from-montreal-55a95deaef616e1023000a18,1290,20 Days,"Trip to Berlin, Venice, Vienna, Milan, Barcelona, Madrid, Amsterdam, Prague, Zagreb, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-barcelona-54e225e8f9c2e5b9540001a7,1288,14 Days,"Trip to Paris, Berlin, Rome, London, Prague"
https://www.triphobo.com/tripplans/europe-trip-from-bangalore-552f5ab8fbc2e5474c001076,1276,16 Days,"Trip to Paris, Berlin, Rome, Venice, Nice, Milan, Pisa, Zurich, Basel, Amsterdam"
https://www.triphobo.com/tripplans/europe-trip-from-sacramento-55dcb68da6e4d03608000e28,1265,20 Days,"Trip to Paris, Berlin, London, Brussels, Stockholm, Prague, Oxford, Riga, Belfast, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-mumbai-5593fe71fbc2e57c16000083,1235,16 Days,"Trip to Paris, Berlin, Barcelona, Stockholm, Prague, Oslo, Riga, Copenhagen, Budapest, Santorini"
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-5599dbaffac2e5e5100003c8,1233,19 Days,"Trip to Paris, Berlin, Brussels, Valencia, Prague, Reykjavik, Ibiza"
https://www.triphobo.com/tripplans/europe-asia-trip-from-mumbai-55797a9ff9c2e563520002bb,1218,17 Days,"Trip to Paris, Berlin, Mumbai, Rome, Venice, Brussels, Amsterdam, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-plan-558b886df9c2e55f50000add,1218,17 Days,"Trip to Paris, Berlin, Salzburg, Munich, Brussels"
https://www.triphobo.com/tripplans/europe-trip-from-manila-554a54cbfac2e5132f0002de,1217,19 Days,"Trip to Paris, Berlin, Brussels, Amsterdam, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-from-paris-55dbdd08a5e4d0b45e00045e,1213,20 Days,"Trip to Berlin, Venice, Florence, Munich, Prague, Hallstatt"
https://www.triphobo.com/tripplans/europe-trip-from-milan-5528404de70545f92c0001c3,1212,18 Days,"Trip to Paris, Berlin, Venice, Vienna, Florence, Brussels, Bern, Amsterdam, Prague, Budapest"
https://www.triphobo.com/tripplans/germany-france-trip-from-mumbai-558d5675fbc2e5604500057e,1207,17 Days,"Trip to Paris, Berlin, Munich, Hamburg, Lyon, Versailles, Stuttgart, Avignon, Frankfurt, Menton"
https://www.triphobo.com/tripplans/europe-trip-from-mumbai-55ccb6c19006706005000527,1207,20 Days,"Trip to Paris, Berlin, Antwerp, Brussels, Zurich, Barcelona, Madrid, Amsterdam, Warsaw, Innsbruck"
https://www.triphobo.com/tripplans/europe-trip-from-los-angeles-5584ae78fac2e5502e000106,1202,20 Days,"Trip to Paris, Berlin, London, Brussels, Cork, Stockholm, Amsterdam, Riga, Copenhagen, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-clifton-park-554fb5e6fbc2e55255000539,1199,16 Days,"Trip to Paris, Berlin, Brussels, Amsterdam, Cologne, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-from-sydney-552bd070f9c2e5723d00000b,1198,17 Days,"Trip to Paris, Berlin, Salzburg, Munich, Hamburg, Strasbourg, Brussels, Prague"
https://www.triphobo.com/tripplans/europe-trip-from-gdansk-55878392fbc2e5341c00099c,1198,18 Days,"Trip to Berlin, Vienna, Prague, Dresden, Budapest, Frankfurt"
https://www.triphobo.com/tripplans/europe-itinerary-from-new-york-city-56009ae08f471941560000e3,1184,59 Days,"Trip to Paris, Berlin, Rome, Venice, London, Florence, Nice, Milan, Dublin, Amsterdam"
https://www.triphobo.com/tripplans/berlin-munich-mumbai-trip-from-mumbai-54eafa84f9c2e5bd71000192,1169,11 Days,"Trip to Berlin, Mumbai, Munich"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-dallas-55a52ce8f9c2e57119000083,1153,20 Days,"Trip to Paris, Berlin, Rome, Vienna, London, Dallas, Dublin, Bern, Amsterdam, Prague"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-miami-55aeb25a00fc94400f00067b,1148,20 Days,"Trip to Paris, Berlin, Miami, London, Munich, Zurich, Amsterdam, Prague, Marseille"
https://www.triphobo.com/tripplans/europe-trip-from-london-55b834b4531f71be0c0009df,1148,20 Days,"Trip to Paris, Berlin, Rome, Venice, Vienna, Florence, Munich, Dublin, Amsterdam, Prague"
https://www.triphobo.com/tripplans/europe-trip-from-chicago-5597f05efbc2e52d0d000372,1135,19 Days,"Trip to Berlin, Munich, Nice, Milan, Zurich, Barcelona, Madrid, Amsterdam, Prague, Lisbon"
https://www.triphobo.com/tripplans/europe-trip-from-mumbai-55a52637de2a9e376a000124,1134,20 Days,"Trip to Paris, Berlin, Rome, Venice, Florence, Munich, Barcelona, Seville"
https://www.triphobo.com/tripplans/europe-itinerary-from-new-york-city-568a7660fea23c3210000315,1114,35 Days,"Trip to Paris, Berlin, London, Munich, Dublin, Barcelona, Madrid, Stockholm, Amsterdam, Marseille"
https://www.triphobo.com/tripplans/europe-itinerary-from-milan-565656a78527a51517000867,1108,60 Days,"Trip to Paris, Berlin, Rome, Venice, Florence, Brussels, Athens, Amsterdam, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-newark-54f357b50c1d0a8a3f00021a,1107,13 Days,Two Blondes Across the Pond
https://www.triphobo.com/tripplans/europe-trip-from-adelaide-55d6c4d89006704965000115,1106,20 Days,"Trip to Paris, Berlin, London, Athens, Barcelona, Seville, Amsterdam, Dubrovnik, Santiago De Compostela"
https://www.triphobo.com/tripplans/europe-trip-from-cleveland-5582200bfac2e53b30000469,1105,16 Days,"Trip to Paris, Berlin, Rome, London, Munich, Dublin, Naples, York"
https://www.triphobo.com/tripplans/europe-trip-from-singapore-55a0a5bafac2e5085d000037,1105,17 Days,"Trip to Paris, Berlin, Rome, Venice, Munich, Brussels, Amsterdam, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-from-sydney-559b8f58fac2e578280000dd,1096,18 Days,"Trip to Paris, Berlin, Salzburg, Vienna, Florence, Amsterdam, Prague, Krakow, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-55cbfb7400fc948a71000359,1077,20 Days,"Trip to Paris, Berlin, Rome, London, Bruges, Brussels, Dublin, Amsterdam"
https://www.triphobo.com/tripplans/munich-frankfurt-berlin-trip-from-fort-myers-558d41d5fac2e56461000362,1052,18 Days,"Trip to Berlin, Munich, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-plan-55dc97936446cb7b4c000c96,1047,18 Days,"Trip to Paris, Berlin, London, Bruges, Barcelona, Amsterdam, Prague"
https://www.triphobo.com/tripplans/berlin-stuttgart-trip-from-marseille-557b6302fbc2e50e7f0009bc,1045,15 Days,"Trip to Berlin, Stuttgart"
https://www.triphobo.com/tripplans/berlin-hamburg-trip-from-houston-5515b500fbc2e5db3500074a,1034,11 Days,"Trip to Berlin, Hamburg"
https://www.triphobo.com/tripplans/europe-trip-from-montreal-553aaf96fac2e52649000bf9,1008,15 Days,"Trip to Berlin, London, Barcelona, Amsterdam, Mykonos"
https://www.triphobo.com/tripplans/europe-trip-from-atlanta-5535d3d8fbc2e5574c00092b,995,13 Days,"Trip to Berlin, Venice, Vienna, Prague, Frankfurt, Innsbruck"
https://www.triphobo.com/tripplans/europe-trip-from-thira-5515ad34fbc2e5ec3500059e,993,20 Days,"Trip to Berlin, Rome, Vienna, Florence, Brussels, Athens, Naples, Bern, Amsterdam, Prague"
https://www.triphobo.com/tripplans/europe-trip-from-seattle-553ed013fac2e50b4c000001,988,15 Days,"Trip to Paris, Berlin, Munich, Amsterdam, Interlaken"
https://www.triphobo.com/tripplans/austria-czech-republic-germany-trip-from-munich-5504d34cfbc2e5e64700072b,987,11 Days,"Trip to Berlin, Vienna, Prague, Dresden"
https://www.triphobo.com/tripplans/europe-asia-trip-from-mumbai-55797cd7fbc2e5db0e0003e7,985,17 Days,"Trip to Paris, Berlin, Mumbai, Rome, Venice, Brussels, Amsterdam, Frankfurt"
https://www.triphobo.com/tripplans/europe-trip-from-singapore-55e6cb589006705b3e000220,981,16 Days,"Trip to Berlin, Vienna, Amsterdam, Prague, Budapest, Innsbruck, Hallstatt"
https://www.triphobo.com/tripplans/europe-trip-from-bogota-559b075afbc2e541430001f0,979,20 Days,"Trip to Paris, Berlin, Rome, Barcelona, Madrid, Santorini, Mykonos"
https://www.triphobo.com/tripplans/europe-trip-from-columbus-559abf91fbc2e51a0d0003f4,975,17 Days,"Trip to Berlin, Venice, Salzburg, Vienna, Moscow, Monaco, Stockholm, Prague, Helsinki, Copenhagen"
https://www.triphobo.com/tripplans/europe-trip-from-jeddah-54f18137fbc2e5433a0012d3,970,13 Days,"Trip to Berlin, Rome, Vienna, Prague"
https://www.triphobo.com/tripplans/europe-trip-plan-5599bedafbc2e5e73e000809,968,19 Days,"Trip to Paris, Berlin, Vienna, Barcelona, Madrid, Amsterdam, Prague, Budapest"
