url,views,days,name
https://www.triphobo.com/tripplans/united-states-canada-itinerary-52de0a9ae705459d40000000,3516,16 Days,"Trip to Boston, New york city, Washington, d. c., Orlando, Miami, Toronto, Chicago"
https://www.triphobo.com/tripplans/boston-2-day-itinerary,1979,2 Days,Boston Trip
https://www.triphobo.com/tripplans/united-states-trip-from-dublin-55042c2ef9c2e54221000094,1974,18 Days,"Trip to Las Vegas, Los Angeles, New York City, San Francisco, Boston, Santa Barbara, Santa Monica"
https://www.triphobo.com/tripplans/boston-trip-3-days,1734,3 Days,Boston Itinerary 3 Days
https://www.triphobo.com/tripplans/north-america-europe-itinerary-from-detroit-566e5d11579e4c3c06000000,1718,60 Days,"Trip to Paris, Berlin, Venice, Boston, Stockholm, Amsterdam, Oslo, Reykjavik, Marseille, Copenhagen"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-boston-5515cbb4e70545154d0000e4,1601,17 Days,"Trip to Berlin, Vienna, Boston, Prague, Budapest"
https://www.triphobo.com/tripplans/united-states-trip-from-los-angeles-550d1bcdf9c2e55704000083,1598,16 Days,"Trip to Philadelphia, New York City, Boston, Chicago"
https://www.triphobo.com/tripplans/boston-itinerary-53574566e70545c01b000001,1593,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/seattle-boston-dallas-trip-from-new-york-city-550af0fb0c1d0aa4750002d6,1514,16 Days,"16 Day Trip to Seattle, Boston, Dallas from New York City"
https://www.triphobo.com/tripplans/united-states-bahamas-cuba-trip-from-mumbai-55a3c71df8c2e54e6800053f,1490,20 Days,"Trip to Miami, Washington D. C., New York City, Orlando, Boston, Havana, Freeport"
https://www.triphobo.com/tripplans/boston-3-day-itinerary,1487,3 Days,"Melange of History, Culture, Geekiness And More - Boston"
https://www.triphobo.com/tripplans/united-states-trip-from-houston-558359d8fac2e5870e000946,1438,20 Days,"Trip to Miami, Washington D. C., Philadelphia, New York City, Orlando, Houston, Boston, Chicago, Atlantic City"
https://www.triphobo.com/tripplans/united-states-trip-from-mumbai-556410c2f9c2e54a0a00019c,1313,20 Days,"Trip to Las Vegas, Miami, Washington D. C., Philadelphia, Los Angeles, New York City, Boston"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-houston-55be5b07531f7102050003fe,1230,19 Days,"Trip to Miami, Washington D. C., New York City, Orlando, Boston, Chicago, Niagara Falls"
https://www.triphobo.com/tripplans/united-states-trip-from-ahmedabad-55b270f84715a7bd3c0011ac,1227,20 Days,"Trip to Las Vegas, Miami, Washington D. C., Los Angeles, New York City, Orlando, San Francisco, Boston"
https://www.triphobo.com/tripplans/boston-itinerary-53574b87e70545931b000001,1207,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/boston-itinerary-534fd5cbe70545a150000015,1154,3 Days,Trip to Boston
https://www.triphobo.com/tripplans/canada-united-states-trip-plan-55209c3c0c1d0a696200017c,1148,14 Days,"Trip to New York City, Boston, Key West, Niagara Falls"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-mumbai-559be05ffbc2e5822500055e,1145,17 Days,"Trip to Washington D. C., New York City, Boston, Chicago, Niagara Falls"
https://www.triphobo.com/tripplans/united-states-trip-from-brisbane-55cc123ecd2e07be0500029a,1142,18 Days,"Trip to Miami, New York City, Orlando, Boston, Chicago, Myrtle Beach"
https://www.triphobo.com/tripplans/united-kingdom-united-states-trip-from-lahore-55a3c291fbc2e5485f000360,1100,19 Days,"Trip to Baltimore, Washington D. C., London, New York City, Glasgow, Boston, Manchester, Blackpool, Virginia Beach"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cb3ea200fc94627100004d,1100,15 Days,Trip to 
https://www.triphobo.com/tripplans/boston-mainz-trip-from-west-palm-beach-55b6b50f1aa23c530a0001d1,1082,14 Days,"Trip to Boston, Mainz"
https://www.triphobo.com/tripplans/new-york-city-boston-los-angeles-trip-from-los-angeles-550965ce0c1d0aa63f00016d,1080,15 Days,"Trip to Los Angeles, New York City, Boston"
https://www.triphobo.com/tripplans/united-states-trip-from-ahmedabad-55b2622b00fc94c55d0002c9,1001,20 Days,"Trip to Las Vegas, Miami, Washington D. C., Los Angeles, New York City, Orlando, San Francisco, Boston"
https://www.triphobo.com/tripplans/united-states-canada-trip-plan-5576153dfac2e54f26000f03,989,20 Days,"Trip to Washington D. C., New York City, Boston, Niagara Falls"
https://www.triphobo.com/tripplans/canada-united-states-trip-from-san-francisco-5522c524fbc2e5e8100004cb,988,11 Days,"Trip to Montreal, New York City, San Francisco, Boston, Quebec"
https://www.triphobo.com/tripplans/boston-itinerary-53e7e3a3e705458f6e00018a,976,6 Days,Boston 2014
https://www.triphobo.com/tripplans/costa-rica-united-states-united-kingdom-trip-from-glasgow-552855d0fbc2e52d5c000a36,958,18 Days,"Trip to New York City, San Francisco, Glasgow, Boston, Cahuita"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cdea9ef3a73d7c51000002,924,15 Days,Trip to 
https://www.triphobo.com/tripplans/united-states-itinerary-5648c68e8527a5cf7d000439,873,47 Days,"Trip to Las Vegas, Austin, Miami, Washington D. C., Los Angeles, New York City, San Francisco, Houston, Boston, Virginia Beach"
https://www.triphobo.com/tripplans/new-york-city-chicago-boston-trip-from-boston-54f24912fbc2e54978000b77,866,12 Days,"Trip to New York City, Boston, Chicago"
https://www.triphobo.com/tripplans/united-states-trip-from-reno-5560cb22f9c2e53c1200035f,854,15 Days,"Trip to Washington D. C., New York City, Boston, Richmond"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cb9294900670d8050000d7,851,15 Days,Trip to 
https://www.triphobo.com/tripplans/new-york-city-philadelphia-washington-d-c-trip-from-boston-54b19d6dfbc2e50e0a000037,844,7 Days,"Trip to Washington, d. c., Philadelphia, New york city"
https://www.triphobo.com/tripplans/boston-itinerary-535749d6e705454e7e000000,841,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/united-states-trip-from-beijing-5591adc4fbc2e5f5400001d6,815,13 Days,"Trip to Las Vegas, Washington D. C., Philadelphia, San Diego, Seattle, Los Angeles, New York City, San Francisco, Boston"
https://www.triphobo.com/tripplans/boston-1-day-tour-itinerary,798,1 Day,Boston Itinerary 1 Day 
https://www.triphobo.com/tripplans/boston-itinerary-535008bee70545022e00000b,763,3 Days,Trip to Boston
https://www.triphobo.com/tripplans/united-states-itinerary-from-vienna-564e06e272e5d01e06000005,763,34 Days,"Trip to Albuquerque, Miami, San Diego, New Orleans, Los Angeles, New York City, San Francisco, Boston, Denver, Grand Canyon National Park"
https://www.triphobo.com/tripplans/boston-chicago-trip-from-los-angeles-54ff5eba0c1d0a3b56000039,731,12 Days,"Trip to Boston, Chicago"
https://www.triphobo.com/tripplans/united-states-trip-plan-5565a154fac2e587480001d7,725,15 Days,Trip to U.S. 
https://www.triphobo.com/tripplans/boston-philadelphia-new-york-city-trip-from-pembroke-550ae039fbc2e5af40000415,721,9 Days,"Trip to Philadelphia, New York City, Boston"
https://www.triphobo.com/tripplans/boston-itinerary-537cfd2ef9c2e52e45000001,716,3 Days,sisters
https://www.triphobo.com/tripplans/boston-itinerary-5453ec9cf9c2e5162a000a83,708,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/united-states-japan-trip-from-ho-chi-minh-city-55962bbef9c2e56561000259,699,18 Days,"Trip to Washington D. C., New York City, San Francisco, Boston, Osaka"
https://www.triphobo.com/tripplans/north-america-europe-trip-from-buffalo-55c7cfaef3a73de90e0001d8,697,19 Days,"Trip to Paris, London, Boston, Amsterdam, Lisbon"
https://www.triphobo.com/tripplans/montreal-itinerary-536a5d7cf9c2e50403000006,671,2 Days,Trip to Montreal
https://www.triphobo.com/tripplans/united-states-trip-from-denver-54b2fdd60c1d0ab213000787,669,8 Days,"Trip to Washington, d. c., Philadelphia, New york city, Boston"
https://www.triphobo.com/tripplans/canada-united-states-trip-from-phoenix-5588cb3dfac2e5036f0001c6,667,8 Days,"Trip to Washington D. C., New York City, Boston, Toronto, Atlantic City"
https://www.triphobo.com/tripplans/united-states-japan-trip-from-ho-chi-minh-city-55962ca2f9c2e58361000225,667,17 Days,"Trip to Washington D. C., New York City, San Francisco, Boston, Osaka"
https://www.triphobo.com/tripplans/united-states-trip-from-london-55c5aa4b521f71d220000471,666,20 Days,"Trip to Las Vegas, New Orleans, Seattle, Los Angeles, New York City, San Francisco, Boston, Chicago, Yosemite National Park, Grand Canyon National Park"
https://www.triphobo.com/tripplans/united-states-japan-trip-from-ho-chi-minh-city-55962bdefbc2e5e7300002b0,657,17 Days,"Trip to Washington D. C., New York City, San Francisco, Boston, Osaka"
https://www.triphobo.com/tripplans/boston-itinerary-52d867c3e70545ab60000000,627,2 Days,Trip to Boston
https://www.triphobo.com/tripplans/washington-d-c-boston-itinerary-52a6a4e9e70545b918000000,623,3 Days,"Trip to washington, d. c. boston"
https://www.triphobo.com/tripplans/spain-united-states-trip-from-boston-55c615a900fc9451360009be,615,11 Days,"Trip to Boston, Barcelona, Granada, Madrid, Seville"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-boston-55bd8a0e19a23cc138001287,584,16 Days,"Trip to Paris, Rome, Venice, Vienna, Munich, Brussels, Boston, Zurich, Amsterdam, Prague"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55b151a900fc94d534000d8a,582,12 Days,"Trip to Washington D. C., New York City, Boston, Toronto"
https://www.triphobo.com/tripplans/united-states-itinerary-from-mumbai-564c5d2d9bd33ec41d000390,582,31 Days,"Trip to Las Vegas, Miami, Washington D. C., Seattle, Los Angeles, New York City, San Francisco, Boston, Chicago, San Jose"
https://www.triphobo.com/tripplans/united-states-trip-plan-551b70fbfbc2e5f676000b33,577,15 Days,"Trip to Washington D. C., New York City, San Francisco, Boston, Chicago"
https://www.triphobo.com/tripplans/boston-new-york-city-philadelphia-trip-from-san-francisco-5578c1c6f9c2e5144b000969,575,12 Days,"Trip to Philadelphia, New York City, Boston"
https://www.triphobo.com/tripplans/united-states-trip-from-denver-54b2fc53fbc2e5b02c000363,573,7 Days,"Trip to Washington, d. c., Philadelphia, New york city"
https://www.triphobo.com/tripplans/united-states-itinerary-from-shanghai-56004b08ec796fe105001743,558,25 Days,"Trip to Las Vegas, Miami, Washington D. C., Seattle, Los Angeles, New York City, San Francisco, Boston"
https://www.triphobo.com/tripplans/boston-trip-from-atlanta-5510c3d2fbc2e50578000987,539,8 Days,Trip to Boston
https://www.triphobo.com/tripplans/united-states-trip-from-atlanta-55d353ed900670a47d000021,534,15 Days,"Trip to Seattle, New York City, San Francisco, Boston, Chicago"
https://www.triphobo.com/tripplans/washington-d-c-boston-new-york-city-trip-from-delhi-5464c7bce70545734f00021a,521,3 Days,"Trip to Washington, d. c., New york city, Boston"
https://www.triphobo.com/tripplans/boston-trip-from-boston-54c6f8c3e7054538120000f8,511,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/boston-trip-from-cleveland-550b45380c1d0a885d00065c,496,7 Days,Trip to Boston
https://www.triphobo.com/tripplans/washington-d-c-new-york-city-boston-trip-from-sacramento-556e0795fac2e5c73700069b,483,9 Days,"RM Trip to Washington D. C., New York City, Boston"
https://www.triphobo.com/tripplans/world-tour-itinerary-from-tacoma-56086352f7ca708a4a000489,480,46 Days,"Trip to Paris, Venice, London, Casablanca, Sydney, Boston, Phuket, Denver, Detroit, Bali"
https://www.triphobo.com/tripplans/san-francisco-chicago-boston-trip-from-sydney-551405d9f9c2e5351d0002e1,477,20 Days,"Trip to San Francisco, Boston, Chicago"
https://www.triphobo.com/tripplans/boston-trip-from-mission-viejo-5533dadde705453c3e0000e6,474,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/europe-north-america-trip-from-little-rock-55b3edab00fc944c73000418,469,10 Days,"Trip to Paris, Salzburg, London, Boston"
https://www.triphobo.com/tripplans/miami-trip-from-new-york-city-55210f50fbc2e56a61000076,467,14 Days,Trip to Miami
https://www.triphobo.com/tripplans/united-states-itinerary-from-montevideo-5670d0778427a55a63000582,465,20 Days,"Trip to Miami, Washington D. C., New Orleans, New York City, Boston, Fort Lauderdale"
https://www.triphobo.com/tripplans/new-york-city-boston-detroit-trip-from-new-york-city-55a2e798fbc2e51a730001a6,464,15 Days,"Trip to New York City, Boston, Detroit"
https://www.triphobo.com/tripplans/boston-trip-plan-54717397e70545782c000071,440,5 Days,Trip to Boston
https://www.triphobo.com/tripplans/boston-itinerary-534f3fc3e705458f4900000e,429,2 Days,Boston - Historic New England Charm
https://www.triphobo.com/tripplans/united-states-trip-from-seattle-55c774541aa23c91650001fe,422,7 Days,"Trip to Miami, Washington D. C., New York City, Boston"
https://www.triphobo.com/tripplans/united-states-trip-from-denver-55b9f3511aa23cf7090013cd,417,7 Days,"Trip to Washington, d. c., Philadelphia, New york city"
