views,url,days,name
196363,https://www.triphobo.com/tripplans/chicago-itinerary-5-days,5 Days,Chicago Itinerary 5 Days 
184966,https://www.triphobo.com/tripplans/chicago-itinerary-3-days,3 Days,Chicago Itinerary 3 Days
99043,https://www.triphobo.com/tripplans/chicago-itinerary-7-days,7 Days,Chicago Itinerary 7 Days
64493,https://www.triphobo.com/tripplans/chicago-itinerary-1-day,1 Day,Chicago Itinerary 1 Days
54457,https://www.triphobo.com/tripplans/chicago-itinerary-2-days,2 Days,Chicago Itinerary 2 Days
39840,https://www.triphobo.com/tripplans/chicago-itinerary-6-days,6 Days,Chicago Itinerary 6 Days
21704,https://www.triphobo.com/tripplans/chicago-itinerary-4-days,4 Days,Chicago Itinerary 4 Days
2551,https://www.triphobo.com/tripplans/united-states-canada-trip-from-bangalore-54ed74b8f9c2e56504000088,20 Days,"20 Day Trip to United States, Canada from Bangalore"
1796,https://www.triphobo.com/tripplans/united-states-trip-from-san-francisco-5511b6bafbc2e55b2700064a,19 Days,"Trip to Las Vegas, Miami, Dallas, Los Angeles, New York City, Chicago"
1796,https://www.triphobo.com/tripplans/los-angeles-trip-from-sydney-5513deb20c1d0a581c0000de,20 Days,Trip to Los Angeles
1569,https://www.triphobo.com/tripplans/chicago-sightseeing-in-2-days,2 Days,Chicago Itinerary 2 Days
1331,https://www.triphobo.com/tripplans/united-states-trip-from-los-angeles-550d1bcdf9c2e55704000083,16 Days,"Trip to Philadelphia, New York City, Boston, Chicago"
1323,https://www.triphobo.com/tripplans/united-states-trip-from-brighton-55b64dea19a23c2d0900001d,20 Days,"Trip to Miami, Atlanta, Orlando, Chicago, Fort Lauderdale, Nashville, Naples, Detroit, Jacksonville, Fort Myers"
1281,https://www.triphobo.com/tripplans/united-states-trip-from-houston-558359d8fac2e5870e000946,20 Days,"Trip to Miami, Washington D. C., Philadelphia, New York City, Orlando, Houston, Boston, Chicago, Atlantic City"
1076,https://www.triphobo.com/tripplans/united-states-canada-trip-from-houston-55be5b07531f7102050003fe,19 Days,"Trip to Miami, Washington D. C., New York City, Orlando, Boston, Chicago, Niagara Falls"
1073,https://www.triphobo.com/tripplans/india-united-states-trip-plan-54eaf908fbc2e58e7100048b,10 Days,"Trip to Mumbai, Las Vegas, Miami, Salt Lake City, Los Angeles, New York City, San Francisco, Chicago, Honolulu, Galveston"
1056,https://www.triphobo.com/tripplans/chicago-itinerary-538bc94ee705451f3a00000f,3 Days,Trip to Chicago
1041,https://www.triphobo.com/tripplans/chicago-trip-from-johannesburg-548837a6fbc2e5d22e0001f1,10 Days,Trip to Chicago
1040,https://www.triphobo.com/tripplans/united-states-trip-from-johannesburg-55d1e31ff3a73d210f000686,19 Days,"Trip to Las Vegas, Miami, Washington D. C., Philadelphia, Dallas, Los Angeles, New York City, Chicago"
1021,https://www.triphobo.com/tripplans/united-states-trip-from-chennai-559510b5f9c2e5ba4e000100,18 Days,"Trip to Seattle, New York City, San Francisco, Chicago, South Lake Tahoe"
995,https://www.triphobo.com/tripplans/united-states-canada-trip-from-mumbai-559be05ffbc2e5822500055e,17 Days,"Trip to Washington D. C., New York City, Boston, Chicago, Niagara Falls"
983,https://www.triphobo.com/tripplans/united-states-trip-from-sydney-55ac81db00fc949a5c0006f2,19 Days,"Trip to Las Vegas, Los Angeles, New York City, Orlando, Chicago, South Lake Tahoe"
978,https://www.triphobo.com/tripplans/united-states-trip-from-brisbane-55cc123ecd2e07be0500029a,18 Days,"Trip to Miami, New York City, Orlando, Boston, Chicago, Myrtle Beach"
963,https://www.triphobo.com/tripplans/united-states-trip-from-new-york-city-55d2d6f000fc940e14000191,16 Days,"Trip to Las Vegas, Los Angeles, San Francisco, Death Valley National Park, Chicago, Yosemite National Park, Yellowstone National Park, South Lake Tahoe"
904,https://www.triphobo.com/tripplans/united-states-canada-trip-from-miami-5502ab9a0c1d0a8427000016,20 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, San Francisco, Vancouver, Chicago, Toronto, Honolulu"
893,https://www.triphobo.com/tripplans/united-states-trip-from-new-york-city-55716005f9c2e567290001f6,20 Days,"Trip to Las Vegas, Washington D. C., New Orleans, Los Angeles, New York City, San Francisco, Chicago"
877,https://www.triphobo.com/tripplans/chicago-itinerary-53837d4fe70545b713000007,5 Days,Trip to Chicago
872,https://www.triphobo.com/tripplans/united-states-itinerary-from-sydney-567912038427a5dd14000975,39 Days,"Trip to Las Vegas, Washington D. C., San Diego, New Orleans, Los Angeles, New York City, San Francisco, Chicago, Charleston, Palm Springs"
868,https://www.triphobo.com/tripplans/chicago-trip-7-days,7 Days,Chicago Itinerary 7 Days
857,https://www.triphobo.com/tripplans/united-states-trip-from-chennai-55951195fbc2e51f260000f0,19 Days,"Trip to Seattle, New York City, San Francisco, Chicago, South Lake Tahoe"
850,https://www.triphobo.com/tripplans/new-york-city-chicago-boston-trip-from-boston-54f24912fbc2e54978000b77,12 Days,"Trip to New York City, Boston, Chicago"
847,https://www.triphobo.com/tripplans/chicago-trip-from-johannesburg-5488385afbc2e56d420000a6,10 Days,Trip to Chicago
831,https://www.triphobo.com/tripplans/united-states-trip-from-perth-557bbef3f9c2e5e159000c73,15 Days,"Trip to Las Vegas, Miami, Seattle, Los Angeles, New York City, Orlando, San Francisco, Chicago, Cleveland, Sarasota"
811,https://www.triphobo.com/tripplans/chicago-new-york-city-trip-from-new-york-city-54f7a41ffbc2e5305e0004f9,10 Days,"Trip to New York City, Chicago"
811,https://www.triphobo.com/tripplans/united-states-trip-from-toledo-559c5984fbc2e56c34000c1d,13 Days,dream trip
808,https://www.triphobo.com/tripplans/united-states-trip-from-delhi-55dafda3a6e4d048080004b6,20 Days,"Trip to Las Vegas, Washington D. C., Dallas, Los Angeles, New York City, Orlando, San Francisco, Phoenix, Chicago, Virginia Beach"
806,https://www.triphobo.com/tripplans/united-states-trip-from-san-jacinto-5599e80ffbc2e56175000604,20 Days,"Trip to Albuquerque, Baltimore, Seattle, New York City, Pittsburgh, Phoenix, Chicago, Memphis, Minneapolis, Nashville"
783,https://www.triphobo.com/tripplans/united-states-trip-from-mumbai-55e82783a6e4d0ab2400004a,18 Days,"Trip to Las Vegas, Miami, Washington D. C., Los Angeles, New York City, Chicago, Yellowstone National Park"
745,https://www.triphobo.com/tripplans/north-america-europe-trip-from-melbourne-55a348a6fac2e51d280001a2,18 Days,"Trip to Rome, Las Vegas, London, Los Angeles, New York City, Munich, Chicago"
735,https://www.triphobo.com/tripplans/united-states-trip-from-perth-5593b8f0fbc2e5536f0000cc,15 Days,"Trip to Seattle, New York City, Chicago, Detroit"
720,https://www.triphobo.com/tripplans/minneapolis-chicago-trip-from-winnipeg-553ec90cf9c2e5dd2a000c3f,6 Days,"Trip to Chicago, Minneapolis"
718,https://www.triphobo.com/tripplans/boston-chicago-trip-from-los-angeles-54ff5eba0c1d0a3b56000039,12 Days,"Trip to Boston, Chicago"
717,https://www.triphobo.com/tripplans/united-states-trip-from-mumbai-55962daffac2e5eb390004bc,14 Days,"Trip to Las Vegas, Miami, Seattle, Los Angeles, New York City, San Francisco, Chicago, Indianapolis"
715,https://www.triphobo.com/tripplans/chicago-atlanta-new-york-city-trip-from-toronto-551bf1a9f9c2e57d750002bd,9 Days,"Trip to Atlanta, New York City, Chicago"
694,https://www.triphobo.com/tripplans/united-states-trip-plan-55997941fac2e5e610000031,14 Days,"Trip to New Orleans, Chicago, Memphis, Nashville"
665,https://www.triphobo.com/tripplans/toronto-chicago-vancouver-trip-from-vancouver-55178ce60c1d0ab16f000126,11 Days,"Trip to Vancouver, Chicago, Toronto"
656,https://www.triphobo.com/tripplans/united-states-trip-from-london-55abb80c00fc947d5e000224,20 Days,"Trip to Las Vegas, Washington D. C., New Orleans, Seattle, Chicago, Yosemite National Park"
655,https://www.triphobo.com/tripplans/chicago-los-angeles-trip-plan-54ef93e50c1d0a2465000520,8 Days,"Trip to Los Angeles, Chicago"
655,https://www.triphobo.com/tripplans/canada-united-states-india-trip-from-delhi-556fd72ef9c2e57c40000b14,9 Days,"Trip to Las Vegas, Montreal, Los Angeles, New York City, San Francisco, Delhi, Chicago, Toronto, Niagara Falls"
652,https://www.triphobo.com/tripplans/united-states-trip-from-london-55c5aa4b521f71d220000471,20 Days,"Trip to Las Vegas, New Orleans, Seattle, Los Angeles, New York City, San Francisco, Boston, Chicago, Yosemite National Park, Grand Canyon National Park"
639,https://www.triphobo.com/tripplans/chicago-itinerary-53934c83e70545ff0800002a,4 Days,Trip to Chicago
