url,views,days,name
https://www.triphobo.com/tripplans/europe-trip-from-vancouver-550b4452fbc2e5a440000677,2614,20 Days,20 Day Trip to Europe from Vancouver
https://www.triphobo.com/tripplans/ireland-united-states-trip-plan-558f7249f9c2e5912700009d,2413,14 Days,"14 Day Trip to Ireland, United States"
https://www.triphobo.com/tripplans/europe-trip-from-atlanta-54fc6561fbc2e58c3f000123,1946,20 Days,"Trip to Paris, London, Athens, Dublin"
https://www.triphobo.com/tripplans/europe-trip-from-atlanta-54fc663ffbc2e57e1b000292,1898,20 Days,"Trip to Paris, London, Athens, Dublin"
https://www.triphobo.com/tripplans/dublin-edinburgh-london-trip-from-boston-55184ce0fbc2e55d1f00024b,1810,16 Days,"Trip to London, Edinburgh, Dublin"
https://www.triphobo.com/tripplans/united-kingdom-ireland-trip-from-sydney-551e3264e70545051b000078,1715,20 Days,"Trip to London, Edinburgh, Dublin, Cardiff"
https://www.triphobo.com/tripplans/london-paris-dublin-itinerary-53867b2de70545747200000c,1713,4 Days,"4 Day Trip to London, Paris, Dublin"
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-5546dc14fbc2e5832900046f,1673,20 Days,"Trip to Paris, Rome, Venice, London, Florence, Nice, Dublin, Barcelona, Madrid"
https://www.triphobo.com/tripplans/dublin-donegal-galway-trip-plan-553901f2f9c2e5e71d00000e,1658,20 Days,"Trip to Galway, Dublin, Donegal"
https://www.triphobo.com/tripplans/ireland-trip-plan-55b692b519a23cb908000183,1653,19 Days,"Trip to Galway, Cork, Dublin, Limerick, Wexford, Tralee, Kilkenny, Dingle"
https://www.triphobo.com/tripplans/europe-trip-from-kolkata-556f7898f9c2e568400006d0,1639,20 Days,"Trip to Moscow, Bergen, Saint Petersburg, Dublin, Stockholm, Prague, Helsinki, Krakow, Warsaw, Rovaniemi"
https://www.triphobo.com/tripplans/paris-dublin-prague-trip-from-lisbon-55128e2afbc2e5a156000028,1591,20 Days,"Trip to Paris, Dublin, Prague"
https://www.triphobo.com/tripplans/dublin-edinburgh-london-trip-from-boston-55185f97fbc2e5ba130004a2,1569,16 Days,"Trip to London, Edinburgh, Dublin"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-sydney-55558cedf9c2e5497d000cfc,1514,20 Days,"Trip to Paris, Rome, Vienna, London, Sydney, Athens, Dublin, Dusseldorf, Copenhagen, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-55cbf46da5e4d06c050001b5,1490,20 Days,"Trip to Paris, Berlin, Rome, London, Bruges, Brussels, Cork, Dublin, Amsterdam"
https://www.triphobo.com/tripplans/europe-trip-from-san-francisco-552f46bcf9c2e5170e0001ba,1435,16 Days,"Trip to Paris, Rome, London, Florence, Galway, Dublin"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-lexington-558ddc3dfac2e5504b0000fe,1434,19 Days,"Trip to Rome, New York City, Dublin, Flam"
https://www.triphobo.com/tripplans/dublin-edinburgh-london-trip-from-portland-55348cf9fbc2e5b718000a48,1428,20 Days,"Trip to London, Edinburgh, Dublin"
