url,views,days,name
https://www.triphobo.com/tripplans/dublin-edinburgh-london-trip-from-boston-55184ce0fbc2e55d1f00024b,1810,16 Days,"Trip to London, Edinburgh, Dublin"
https://www.triphobo.com/tripplans/united-kingdom-ireland-trip-from-sydney-551e3264e70545051b000078,1715,20 Days,"Trip to London, Edinburgh, Dublin, Cardiff"
https://www.triphobo.com/tripplans/europe-asia-trip-from-bangalore-556b1441fac2e554420002ca,1633,20 Days,"Trip to Paris, Berlin, Rome, Bangalore, London, Moscow, Edinburgh, Istanbul, Zurich"
https://www.triphobo.com/tripplans/dublin-edinburgh-london-trip-from-boston-55185f97fbc2e5ba130004a2,1569,16 Days,"Trip to London, Edinburgh, Dublin"
https://www.triphobo.com/tripplans/united-kingdom-trip-plan-55a7a8b0ef616ebb05000831,1429,20 Days,"Trip to London, Edinburgh, Manchester, Cambridge, Bath, Oxford, Blackpool, Birmingham, Sheffield, Llandudno"
https://www.triphobo.com/tripplans/dublin-edinburgh-london-trip-from-portland-55348cf9fbc2e5b718000a48,1428,20 Days,"Trip to London, Edinburgh, Dublin"
https://www.triphobo.com/tripplans/europe-trip-from-rome-55e7d598cd2e075a78000735,1402,20 Days,"Trip to Paris, Venice, London, Florence, Edinburgh, Milan, Geneva, Ulm, Cardiff"
https://www.triphobo.com/tripplans/ireland-united-kingdom-trip-from-sioux-falls-559073acfbc2e55e430008ac,1400,19 Days,"Trip to Edinburgh, Galway, Cork, Dublin, Donegal, Kilkenny, Killarney"
https://www.triphobo.com/tripplans/united-kingdom-trip-from-mumbai-550fb243f9c2e5ff62000682,1354,13 Days,13 Day Trip to United Kingdom from Mumbai
https://www.triphobo.com/tripplans/ireland-united-kingdom-trip-from-chicago-55907476f9c2e5fe550007e8,1339,20 Days,"Trip to Edinburgh, Galway, Cork, Dublin, Donegal, Kilkenny, Killarney"
https://www.triphobo.com/tripplans/europe-trip-from-brisbane-55a710374615a7b90500038a,1312,20 Days,"Trip to Salzburg, Vienna, London, Munich, Edinburgh, Amsterdam, Budapest"
https://www.triphobo.com/tripplans/london-trip-from-nashville-54f931bafbc2e5050b00098b,1292,15 Days,Trip to London
https://www.triphobo.com/tripplans/europe-trip-from-los-angeles-55b9b9621aa23c0835000662,1263,20 Days,"Trip to Paris, Rome, London, Florence, Edinburgh, Dublin, Monaco, Barcelona, Madrid, Amsterdam"
