url,views,days,name
https://www.triphobo.com/tripplans/hong-kong-macau-trip-8-days,3403,8 Days,"8 Days Trip to Hong Kong, Macau"
https://www.triphobo.com/tripplans/asia-trip-from-mumbai-55d09db6a5e4d0a61d0001ae,1538,20 Days,"Trip to Singapore, Bangkok, Kuala Lumpur, Phuket, Hong Kong, Macau"
https://www.triphobo.com/tripplans/australia-hong-kong-trip-from-mumbai-5588fab7fac2e5986b0004b3,1220,16 Days,"Trip to Sydney, Cairns, Brisbane, Alice Springs, Hong Kong"
https://www.triphobo.com/tripplans/asia-trip-plan-556d362ef9c2e5cf3b000a5d,1123,11 Days,"Trip to Singapore, Bangkok, Chennai, Kuala Lumpur, Hong Kong, Macau, Guangzhou"
https://www.triphobo.com/tripplans/china-hong-kong-trip-from-beijing-551e5d0bfbc2e5900300033c,1095,17 Days,"Trip to Xian, Guilin, Beijing, Shanghai, Hong Kong, Chengdu"
https://www.triphobo.com/tripplans/hong-kong-itinerary-52b6fa2de705450612000000,1080,3 Days,Trip to hong kong
https://www.triphobo.com/tripplans/asia-europe-trip-plan-5529aa4af9c2e5024d000435,1007,20 Days,"Trip to Singapore, London, Hong Kong, Bali"
https://www.triphobo.com/tripplans/hong-kong-trip-from-mumbai-55b1a85000fc946d39000f43,984,14 Days,Trip to Hong Kong
https://www.triphobo.com/tripplans/hong-kong-itinerary-52d8cb39e70545ca40000000,952,4 Days,Trip to Hong kong
https://www.triphobo.com/tripplans/hong-kong-guangzhou-trip-from-new-york-city-55dc9053a6e4d0d24d0004d0,903,15 Days,"Trip to Hong Kong, Guangzhou"
https://www.triphobo.com/tripplans/asia-trip-from-pattaya-5593d2c7fac2e5cc0700022c,882,9 Days,"Trip to Singapore, Melaka, Kuala Lumpur, Hong Kong, Dubai, Kuching, Genting Highlands, Penang Hill, Langkawi Island"
https://www.triphobo.com/tripplans/hong-kong-trip-from-mumbai-550306470c1d0afa1c000090,878,9 Days,Trip to Hong Kong
https://www.triphobo.com/tripplans/asia-itinerary-from-manila-56ac96679147196842000839,817,25 Days,"Trip to Singapore, Tokyo, Taipei, Seoul, Bangkok, Kuala Lumpur, Beijing, Hong Kong, Hanoi"
https://www.triphobo.com/tripplans/asia-trip-from-hyderabad-55b473fa00fc94041300012d,809,11 Days,"Trip to Singapore, Bangkok, Kuala Lumpur, Pattaya, Hong Kong, Macau"
https://www.triphobo.com/tripplans/hong-kong-singapore-malaysia-trip-from-delhi-5595145cf9c2e5a24e0000fd,795,13 Days,"Trip to Singapore, Kuala Lumpur, Hong Kong, Genting Highlands, Penang Hill, Langkawi Island"
https://www.triphobo.com/tripplans/hong-kong-macau-itinerary-52db5342e705455851000000,690,4 Days,Trip to Hong kong-Macau
https://www.triphobo.com/tripplans/hong-kong-itinerary-52c078b9e705456014000000,685,3 Days,Trip to hong kong
https://www.triphobo.com/tripplans/hong-kong-trip-from-new-york-city-5524866efbc2e55c42000f27,664,12 Days,Trip to Hong Kong
https://www.triphobo.com/tripplans/asia-trip-from-mumbai-559684ddfac2e57a06000022,645,11 Days,"Trip to Singapore, Bangkok, Kuala Lumpur, Pattaya, Hong Kong, Langkawi Island"
https://www.triphobo.com/tripplans/world-tour-trip-from-jakarta-558d3a95fac2e57c610003ee,636,10 Days,"Trip to Singapore, London, Los Angeles, Melbourne, Perth, Sydney, Kuala Lumpur, Hong Kong, Byron Bay, Bali"
https://www.triphobo.com/tripplans/asia-trip-from-chennai-55c2278c531f711d54000182,604,16 Days,"Trip to Singapore, Bangkok, Kuala Lumpur, Pattaya, Phuket, Hong Kong, Macau, Langkawi Island"
https://www.triphobo.com/tripplans/europe-asia-trip-from-hong-kong-55470d81fac2e52c65000697,583,11 Days,"Trip to Salzburg, Vienna, London, Hong Kong, Frankfurt"
https://www.triphobo.com/tripplans/asia-trip-from-manchester-55e5f39500fc94232b00054a,533,7 Days,"Trip to Tokyo, Seoul, Bangkok, Kuala Lumpur, Shanghai, Hong Kong, Dubai"
https://www.triphobo.com/tripplans/hong-kong-shenzhen-macau-trip-from-singapore-55caafcf531f71b217000170,525,7 Days,"Trip to Hong Kong, Macau, Shenzhen"
