url,views,days,name
https://www.triphobo.com/tripplans/7-day-trip-from-las-vegas-nevada-to-san-francisco-California-usa,6574,7 Days,7 Days Trip to United States
https://www.triphobo.com/tripplans/los-angeles-trip-from-sydney-5513deb20c1d0a581c0000de,2135,20 Days,Trip to Los Angeles
https://www.triphobo.com/tripplans/united-states-itinerary-52c68047e705457c62000000,2010,6 Days,Trip to New York City Los Angeles San Francisco Las Vegas
https://www.triphobo.com/tripplans/united-states-trip-from-adelaide-55b1ad694715a7e54a0005ec,1639,20 Days,"Trip to Las Vegas, Albuquerque, Washington D. C., Atlanta, Dallas, New Orleans, Los Angeles, New York City, San Francisco, Phoenix"
https://www.triphobo.com/tripplans/los-angeles-san-francisco-new-york-city-trip-from-london-54f4d27afbc2e5587800072c,1532,16 Days,"Trip to Los Angeles, New York City, San Francisco"
https://www.triphobo.com/tripplans/united-states-trip-from-bangalore-55943cc6fac2e5d4070007af,1505,20 Days,20 Day Trip to United States from Bangalore
https://www.triphobo.com/tripplans/canada-united-states-trip-from-delhi-55732240fac2e5f32600063b,1491,15 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, San Francisco, Niagara Falls"
https://www.triphobo.com/tripplans/united-states-trip-from-nashville-551d4069f9c2e5e30400022b,1381,20 Days,"Trip to Austin, New Orleans, Los Angeles, Houston"
https://www.triphobo.com/tripplans/los-angeles-trip-from-san-francisco-54fbeafefbc2e54f760000c5,1323,13 Days,Trip to Los Angeles
https://www.triphobo.com/tripplans/united-states-trip-plan-55cc95d200fc94c2710005c9,1218,19 Days,"Trip to Las Vegas, Washington D. C., New Orleans, Los Angeles, New York City, Nashville"
https://www.triphobo.com/tripplans/united-states-trip-from-johannesburg-55d1e31ff3a73d210f000686,1191,19 Days,"Trip to Las Vegas, Miami, Washington D. C., Philadelphia, Dallas, Los Angeles, New York City, Chicago"
https://www.triphobo.com/tripplans/united-states-trip-from-sydney-55741f1afac2e54b60000178,1186,20 Days,"Trip to Las Vegas, Washington D. C., Dallas, New Orleans, Los Angeles, New York City, San Francisco, Honolulu, Yosemite National Park, Memphis"
https://www.triphobo.com/tripplans/united-states-trip-from-denver-5511b231fbc2e55827000524,1183,15 Days,"Trip to Las Vegas, Salt Lake City, San Diego, Los Angeles, Denver"
https://www.triphobo.com/tripplans/united-states-trip-from-los-angeles-557763ecfac2e5e55e000be2,1072,15 Days,"Trip to Las Vegas, San Diego, Los Angeles, San Francisco, Monterey, Naples, South Lake Tahoe"
https://www.triphobo.com/tripplans/united-states-trip-from-sydney-55a57476fac2e5fa340002d9,1054,17 Days,"Trip to Las Vegas, Los Angeles, New York City, San Francisco, Honolulu"
https://www.triphobo.com/tripplans/asia-europe-north-america-trip-from-bangalore-55e70b546446cb3c020006a3,1005,18 Days,"Trip to Paris, Singapore, Tokyo, Los Angeles, New York City, Dubai"
https://www.triphobo.com/tripplans/united-states-trip-from-los-angeles-5593b89afbc2e5476f0000f4,1003,20 Days,"Trip to Las Vegas, San Diego, Los Angeles, San Francisco"
https://www.triphobo.com/tripplans/united-states-trip-from-sydney-55f4cc588527a5a240000077,978,35 Days,35 Day Trip to United States from Sydney
https://www.triphobo.com/tripplans/san-francisco-dallas-new-york-city-trip-from-adelaide-55b199adef616e802e000710,939,18 Days,"Trip to Dallas, New York City, San Francisco"
