url,views,days,name
https://www.triphobo.com/tripplans/europe-asia-trip-from-edinburgh-54fd01c1fbc2e58f3f00058f,2774,20 Days,"20 Day Trip to Europe, Asia from Edinburgh"
https://www.triphobo.com/tripplans/europe-trip-from-vancouver-550b4452fbc2e5a440000677,2615,20 Days,20 Day Trip to Europe from Vancouver
https://www.triphobo.com/tripplans/europe-trip-from-lisbon-54e207bcf9c2e52c14000223,2324,20 Days,20 Day Trip to Europe from Lisbon
https://www.triphobo.com/tripplans/europe-trip-from-burlington-551c24a1fbc2e5342600054a,2044,20 Days,20 Day Trip to Europe from Burlington
https://www.triphobo.com/tripplans/madrid-itinerary-53aa5d97e705457b4f000006,1697,10 Days,Trip to Madrid
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-5546dc14fbc2e5832900046f,1674,20 Days,"Trip to Paris, Rome, Venice, London, Florence, Nice, Dublin, Barcelona, Madrid"
https://www.triphobo.com/tripplans/asia-europe-north-america-trip-from-bangalore-55c109af1aa23c4f1a000c7c,1669,20 Days,"Trip to Paris, Berlin, London, New York City, Munich, Zurich, Geneva, Madrid, Dubai, Frankfurt"
https://www.triphobo.com/tripplans/madrid-trip-6-days,1625,6 Days,6 Day Trip to Madrid
https://www.triphobo.com/tripplans/madrid-barcelona-paris-trip-from-los-angeles-54f79eb40c1d0a48370000d2,1616,17 Days,"Trip to Paris, Barcelona, Madrid"
https://www.triphobo.com/tripplans/europe-asia-trip-from-delhi-5511bbc6fbc2e549270005ed,1579,16 Days,"Trip to Paris, Rome, Salzburg, Delhi, Valencia, Madrid, Amsterdam, Prague, Innsbruck, Ibiza"
https://www.triphobo.com/tripplans/europe-trip-from-paris-5524ae93fbc2e55542000cf5,1525,20 Days,"Trip to Berlin, Rome, Venice, London, Florence, Naples, Barcelona, Madrid, Amsterdam, Lisbon"
https://www.triphobo.com/tripplans/italy-france-spain-trip-from-johannesburg-5589009cfbc2e5ff51000eea,1485,20 Days,"Trip to Rome, Venice, Florence, Milan, Barcelona, Granada, Madrid, Seville, Annecy, Cordoba"
https://www.triphobo.com/tripplans/europe-trip-from-edinburgh-554bbc9ff9c2e5c62100041b,1451,20 Days,"Trip to Paris, Berlin, London, Barcelona, Madrid, Amsterdam, Prague, Budapest, Crete, Ibiza"
https://www.triphobo.com/tripplans/europe-trip-from-delhi-55c2c80e00fc94c51900031c,1422,20 Days,"Trip to Paris, Rome, Venice, Florence, Monaco, Zurich, Geneva, Barcelona, Madrid"
https://www.triphobo.com/tripplans/europe-trip-from-frankfurt-5580ac9ffac2e57e4500035e,1421,20 Days,20 Day Trip to Europe from Frankfurt
https://www.triphobo.com/tripplans/madrid-trip-from-chicago-55ce68ec900670375700028b,1420,20 Days,Trip to Madrid
https://www.triphobo.com/tripplans/europe-trip-from-delhi-55106b44fbc2e5fe7700074e,1416,16 Days,"Trip to Paris, Rome, Brussels, Barcelona, Madrid, Amsterdam, Prague, Innsbruck, Ibiza"
https://www.triphobo.com/tripplans/europe-trip-from-dublin-55ac5dce00fc947e5c000651,1378,20 Days,"Trip to Paris, Rome, Venice, London, Florence, Athens, Barcelona, Madrid, Stockholm, Amsterdam"
https://www.triphobo.com/tripplans/europe-trip-from-seville-55cf77e7a6e4d0bd4d0005a1,1349,18 Days,"Trip to Paris, Berlin, Venice, Vienna, Florence, Brussels, Barcelona, Amsterdam, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-itinerary-from-fredericton-56801fb68527a5ea7e0008b9,1345,59 Days,"Trip to Paris, Rome, Venice, London, Nice, Milan, Barcelona, Madrid, Amsterdam, Faro"
https://www.triphobo.com/tripplans/spain-trip-from-delhi-55718d8ef9c2e5224400022d,1297,20 Days,"Trip to Barcelona, Madrid, Seville, Cadiz, Murcia, Ibiza, Malaga, Marbella"
https://www.triphobo.com/tripplans/europe-trip-from-montreal-55a95deaef616e1023000a18,1290,20 Days,"Trip to Berlin, Venice, Vienna, Milan, Barcelona, Madrid, Amsterdam, Prague, Zagreb, Budapest"
https://www.triphobo.com/tripplans/italy-portugal-trip-from-rome-54fb368e0c1d0a8e4b00015f,1277,15 Days,"Trip to Rome, Venice, Florence, Lisbon"
https://www.triphobo.com/tripplans/spain-trip-from-delhi-551a563c0c1d0a1506000038,1277,15 Days,"Trip to Barcelona, Granada, Valencia, Madrid, Seville, Ibiza"
https://www.triphobo.com/tripplans/europe-trip-from-los-angeles-55b9b9621aa23c0835000662,1263,20 Days,"Trip to Paris, Rome, London, Florence, Edinburgh, Dublin, Monaco, Barcelona, Madrid, Amsterdam"
https://www.triphobo.com/tripplans/madrid-trip-from-lima-55b6af9200fc94792c00040c,1226,20 Days,Trip to Madrid
https://www.triphobo.com/tripplans/europe-trip-from-mumbai-55ccb6c19006706005000527,1210,20 Days,"Trip to Paris, Berlin, Antwerp, Brussels, Zurich, Barcelona, Madrid, Amsterdam, Warsaw, Innsbruck"
https://www.triphobo.com/tripplans/europe-trip-from-london-556f98f9f9c2e55a400007f7,1168,18 Days,"Trip to London, Brussels, Porto, Madrid, Basel, Amsterdam"
https://www.triphobo.com/tripplans/europe-trip-from-wichita-556540a4fac2e5440b00139c,1165,20 Days,"Trip to Paris, Rome, Venice, Barcelona, Madrid, Lisbon"
https://www.triphobo.com/tripplans/europe-trip-from-chicago-5597f05efbc2e52d0d000372,1135,19 Days,"Trip to Berlin, Munich, Nice, Milan, Zurich, Barcelona, Madrid, Amsterdam, Prague, Lisbon"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-mexico-city-5538466efbc2e50a49000be1,1133,15 Days,"Trip to Paris, London, Madrid, Mexico City"
