url,views,days,name
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-london-550adc86f9c2e58b390001d2,2089,16 Days,"16 Day Trip to Australia, New Zealand from London"
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-orlando-553829a5fbc2e55237000b42,2057,20 Days,"20 Day Trip to Australia, New Zealand, United States from Orlando"
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-salt-lake-city-55b91c3b1aa23c520a000f29,1880,20 Days,"20 Day Trip to Australia, New Zealand from Salt Lake City"
https://www.triphobo.com/tripplans/australia-trip-from-brisbane-54f8ec63e70545027500017f,1674,13 Days,13 Day Trip to Australia from Brisbane
https://www.triphobo.com/tripplans/australia-trip-from-edinburgh-55c39c79521f71490a00013e,1479,20 Days,"Trip to Melbourne, Sydney, Cairns, Byron Bay"
https://www.triphobo.com/tripplans/australia-itinerary-from-manchester-56810f65a6d46d2e4d000684,1477,36 Days,"Trip to Melbourne, Sydney, Cairns, Brisbane"
https://www.triphobo.com/tripplans/world-tour-itinerary-from-toronto-56f2a3a98527a5835e000202,1477,44 Days,"Trip to St. johns, Red Bay, Labrador City"
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-kolkata-55754715fbc2e5672c0004e3,1471,18 Days,"18 Day Trip to Australia, New Zealand from Kolkata"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-melbourne-552a68fa0c1d0a90370000b7,1448,16 Days,"Trip to Paris, Rome, Melbourne, Barcelona"
https://www.triphobo.com/tripplans/australia-trip-from-london-55b7770b00fc94ed430001ee,1432,20 Days,"Trip to Melbourne, Sydney, Cairns, Byron Bay"
https://www.triphobo.com/tripplans/australia-trip-from-toronto-55e89c380446cbd0050000d4,1420,20 Days,"Trip to Melbourne, Sydney, Cairns, Brisbane, Gold Coast, Byron Bay"
https://www.triphobo.com/tripplans/cairns-melbourne-auckland-trip-from-sydney-5539a975f9c2e5d11f000ba9,1364,14 Days,"Trip to Melbourne, Cairns, Auckland"
