url,views,days,name
https://www.triphobo.com/tripplans/canada-trip-from-vancouver-552c0389f9c2e56368000386,2046,20 Days,20 Day Trip to Canada from Vancouver
https://www.triphobo.com/tripplans/montreal-itinerary-53760ef7f9c2e5433500000a,1596,3 Days,Montreal Itinerary 3 Days
https://www.triphobo.com/tripplans/port-elizabeth-aarhus-trip-from-harlingen-54f77a64f9c2e5d81b0002e4,1142,10 Days,"Trip to Aarhus, Port Elizabeth"
https://www.triphobo.com/tripplans/canada-trip-from-toronto-5501090bfbc2e5e62e0008ce,1128,10 Days,"Trip to Montreal, Toronto, Quebec, Halifax"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cb3ea200fc94627100004d,1100,15 Days,Trip to 
https://www.triphobo.com/tripplans/montreal-itinerary-53b7dae8e70545f43a000006,1094,5 Days,5 Day Trip to Montreal
https://www.triphobo.com/tripplans/montreal-itinerary-5440ca0ce7054510150001eb,1069,5 Days,Suggested 5 Day Trip To  Montreal
https://www.triphobo.com/tripplans/canada-united-states-trip-from-san-francisco-5522c524fbc2e5e8100004cb,988,11 Days,"Trip to Montreal, New York City, San Francisco, Boston, Quebec"
https://www.triphobo.com/tripplans/1-day-trip-to-montreal,960,1 Day,1 Day Trip to Montreal
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cdea9ef3a73d7c51000002,924,15 Days,Trip to 
https://www.triphobo.com/tripplans/europe-asia-north-america-trip-from-montreal-5508aa82fbc2e55e60000769,920,13 Days,"Trip to Montreal, Bangkok, Istanbul, Barcelona"
https://www.triphobo.com/tripplans/montreal-itinerary-5440c192f9c2e5f56b000a3c,882,3 Days,Highlights of Montreal in Three Days
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cb9294900670d8050000d7,851,15 Days,Trip to 
https://www.triphobo.com/tripplans/montreal-itinerary-5440c89cf9c2e50b09000b3f,790,4 Days,Suggested Itineraries for Visiting  Montreal
https://www.triphobo.com/tripplans/toronto-trip-from-delhi-55de58dba6e4d03345000fc0,759,10 Days,Trip to Toronto
https://www.triphobo.com/tripplans/trip-to-montreal-new-york-city,745,3 Days,Trip to montreal new york city
https://www.triphobo.com/tripplans/montreal-trip-from-delhi-5503dd680c1d0adc450001a2,729,8 Days,Trip to Montreal
https://www.triphobo.com/tripplans/niagara-falls-montreal-quebec-trip-from-harrisburg-557b8c9efbc2e5f97e000a7c,714,9 Days,"Trip to Montreal, Quebec, Niagara Falls"
https://www.triphobo.com/tripplans/canada-united-states-india-trip-from-delhi-556fd72ef9c2e57c40000b14,682,9 Days,"Trip to Las Vegas, Montreal, Los Angeles, New York City, San Francisco, Delhi, Chicago, Toronto, Niagara Falls"
https://www.triphobo.com/tripplans/north-america-europe-south-america-trip-from-yuma-55e643a6a5e4d03c47000af3,682,14 Days,"Trip to Montreal, Madrid, Cordoba, San Juan, Anchorage, Cabo San Lucas"
https://www.triphobo.com/tripplans/montreal-itinerary-536a5d7cf9c2e50403000006,671,2 Days,Trip to Montreal
https://www.triphobo.com/tripplans/toronto-montreal-new-york-city-trip-from-belleville-55a821b5f3a73d1b300002d5,659,10 Days,"Trip to Montreal, New York City, Toronto"
https://www.triphobo.com/tripplans/canada-trip-from-niagara-falls-55e6c111a6e4d03e7b000113,637,10 Days,"Trip to Montreal, Toronto, Quebec, Kingston"
https://www.triphobo.com/tripplans/montreal-trip-plan-5482e239fbc2e5ae18000038,626,6 Days,Trip to Montreal
https://www.triphobo.com/tripplans/canada-united-states-itinerary-from-new-york-city-56bc6df3904719f643000fd1,584,34 Days,"Trip to Montreal, Seattle, Los Angeles, San Francisco, Vancouver, Chicago, Toronto, Banff, Portland, Calgary"
https://www.triphobo.com/tripplans/world-tour-itinerary-from-seattle-562ab0793216f5f3600006a0,583,35 Days,"Trip to Singapore, Tokyo, Venice, Montreal, London, Casablanca, New York City, Luxor, Athens, Dubai"
https://www.triphobo.com/tripplans/montreal-itinerary-53bcd3a7e705452c75000008,560,4 Days,Trip to Montreal
https://www.triphobo.com/tripplans/canada-trip-from-toronto-55e3b0a3cd2e078e2d0001cc,548,6 Days,"Trip to Montreal, Ottawa, Quebec, Kingston"
https://www.triphobo.com/tripplans/montreal-trip-from-tokaj-54d0f69afbc2e5fa42000760,530,5 Days,Five Day Trip To  Montreal
https://www.triphobo.com/tripplans/montreal-trip-from-toronto-54c8058d0c1d0a9d53000288,514,5 Days,Trip to Montreal
https://www.triphobo.com/tripplans/montreal-calgary-itinerary-54041393e7054556740000fe,506,3 Days,"Trip to Montreal, Calgary"
https://www.triphobo.com/tripplans/canada-united-states-itinerary-from-new-york-city-56bc69b47547196a2a00221e,497,33 Days,"Trip to Montreal, Seattle, Los Angeles, San Francisco, Vancouver, Chicago, Toronto, Banff, Portland, Calgary"
https://www.triphobo.com/tripplans/canada-itinerary-from-hyderabad-56f271b483fc940870001da0,489,18 Days,"Trip to Montreal, Vancouver, Toronto, Niagara Falls"
https://www.triphobo.com/tripplans/vancouver-montreal-toronto-trip-from-bellingham-55b6afad19a23cc60800026d,469,6 Days,"Trip to Montreal, Vancouver, Toronto"
https://www.triphobo.com/tripplans/canada-trip-from-bangalore-55787e29fac2e5cc5400047b,450,4 Days,"Trip to Montreal, Toronto, Quebec, Kingston"
