url,views,days,name
https://www.triphobo.com/tripplans/ireland-united-states-trip-plan-558f7249f9c2e5912700009d,2413,14 Days,"14 Day Trip to Ireland, United States"
https://www.triphobo.com/tripplans/new-york-city-2-day-trip,1062,2 Days,New York City Trip
https://www.triphobo.com/tripplans/new-york-city-itinerary-528a1397e70545dc3b000000,762,2 Days,Christmas Trip to New York
https://www.triphobo.com/tripplans/new-york-city-trip-from-roanoke-55b844fe1aa23c450a000aa9,600,1 Day,Trip to New York City
https://www.triphobo.com/tripplans/new-york-city/itinerary-from-detroit-5672ace3a6d46df0190005d1,471,1 Day,Trip to New York City
https://www.triphobo.com/tripplans/new-york-city-itinerary-53388504e70545f751000001,424,3 Days,Trip to New york city
https://www.triphobo.com/tripplans/delhi-new-york-city-pattaya-trip-plan-54f1a304e70545c9790000a0,361,3 Days,"Trip to New York City, Delhi, Pattaya"
https://www.triphobo.com/tripplans/ireland-united-states-itinerary-5654455a9bd33e175e000372,341,14 Days,"Trip To New York City, Galway, Dublin, Donegal, Kilkenny, Killarney"
https://www.triphobo.com/tripplans/new-york-city-fort-myers-trip-from-johannesburg-south-559b3dd2fbc2e57a6e0000bf,332,5 Days,"Trip to New York City, Fort Myers"
https://www.triphobo.com/tripplans/new-york-city/itinerary-from-new-york-city-56afdc94b96928d0110001c1,321,5 Days,Trip to New York City
https://www.triphobo.com/tripplans/denver-memphis-new-york-city-trip-from-las-vegas-551e5a81f9c2e50b1500000a,313,9 Days,"Trip to New York City, Memphis, Denver"
https://www.triphobo.com/tripplans/new-york-city-itinerary-529dc7efe70545480d000000,307,2 Days,Trip to new york city
https://www.triphobo.com/tripplans/new-york-city/itinerary-from-chicago-56b14a0b7647193b320013a5,305,4 Days,Trip to New York City
https://www.triphobo.com/tripplans/new-york-city-trip-plan-54f8d2a3fbc2e56c110006a1,291,2 Days,Trip to New York City
https://www.triphobo.com/tripplans/united-states-trip-from-new-york-city-558b62ddf9c2e54250000aff,284,9 Days,"Trip to Los Angeles, New York City, San Francisco, Phoenix"
https://www.triphobo.com/tripplans/new-york-city-itinerary-52c77452e70545a440000001,281,1 Day,Trip to New York City
https://www.triphobo.com/tripplans/new-york-city/itinerary-from-manchester-56ae37b8ba6928285c000798,281,5 Days,Trip to New York City
https://www.triphobo.com/tripplans/ireland-united-states-itinerary-564d17519bd33e5f600003e8,264,14 Days,"Trip To New York City, Galway, Dublin, Donegal, Kilkenny, Killarney"
https://www.triphobo.com/tripplans/NYC-day-trip,255,1 Day,NYC Day Trip
https://www.triphobo.com/tripplans/new-york-city-niagara-falls-trip-plan-55a40b80f9c2e59a710000df,249,7 Days,"Trip to New York City, Niagara Falls"
https://www.triphobo.com/tripplans/new-york-city-itinerary-542c2273e70545ea60000416,242,2 Days,Trip to New york city
https://www.triphobo.com/tripplans/new-york-city-itinerary-528750e2e705450514000000,240,2 Days,Victor_Trip to USA 
https://www.triphobo.com/tripplans/new-york-city-itinerary-5459fb610c1d0aa417000334,240,2 Days,Trip to New york city
https://www.triphobo.com/tripplans/new-york-city/itinerary-from-delhi-568e2974ea46193106000040,237,4 Days,Trip to New York City
https://www.triphobo.com/tripplans/ireland-united-states-itinerary-56429df95d31b9b162000656,234,14 Days,"Trip To New York City, Galway, Dublin, Donegal, Kilkenny, Killarney"
https://www.triphobo.com/tripplans/new-york-city-trip-from-dallas-54fcca51fbc2e5831b000474,233,2 Days,Trip to New York City
https://www.triphobo.com/tripplans/ireland-united-states-itinerary-563b80b85d31b94f26000846,233,14 Days,"Trip To New York City, Galway, Dublin, Donegal, Kilkenny, Killarney"
https://www.triphobo.com/tripplans/europe-north-america-itinerary-from-paris-5696c88f69ab71303c0000b5,229,15 Days,"Trip to Rome, London, New York City, Florence, Munich, Milan, Athens, Dublin, Geneva, Amsterdam"
https://www.triphobo.com/tripplans/new-york-city-trip-from-johnson-city-559e5059c049cbba1900010e,227,1 Day,Trip to New York City
