url,views,days,name
https://www.triphobo.com/tripplans/portland/itinerary-from-portland-578f63245fec37ed77000345,59220,7 Days,Portland Itinerary 6 Days
https://www.triphobo.com/tripplans/portland/itinerary-from-portland-578f632b5fec377c1700034c,57130,8 Days,Portland Itinerary 7 Days
https://www.triphobo.com/tripplans/portland/itinerary-from-portland-578f631d5fec37671400035d,55463,6 Days,Portland Itinerary 5 Days
https://www.triphobo.com/tripplans/united-states-trip-from-bradenton-55a527b0fbc2e552110002c9,1196,20 Days,"Trip to Albuquerque, Austin, New Orleans, Seattle, Los Angeles, San Francisco, Phoenix, Portland"
https://www.triphobo.com/tripplans/canada-united-states-trip-from-vigo-55dc3509cd2e07806f000300,1147,15 Days,"Trip to San Diego, Seattle, Los Angeles, San Francisco, Vancouver, Portland"
https://www.triphobo.com/tripplans/denver-portland-seattle-trip-from-chicago-55b868f500fc94782c000c0e,878,15 Days,"Trip to Seattle, Portland, Denver"
https://www.triphobo.com/tripplans/north-america-europe-itinerary-from-san-francisco-569886f51969286406000026,864,57 Days,"Trip to Berlin, Rome, Austin, London, Los Angeles, Amsterdam, Budapest, Portland, Topeka"
https://www.triphobo.com/tripplans/portland-trip-from-seattle-55a35c6edd2a9e587c0000a8,791,10 Days,Trip to Portland
https://www.triphobo.com/tripplans/seattle-portland-san-francisco-trip-from-lexington-5594731bfac2e5bd07000979,693,9 Days,"Trip to Seattle, San Francisco, Portland"
https://www.triphobo.com/tripplans/portland-trip-from-seattle-5599d1e6fbc2e56475000530,684,8 Days,Trip to Portland
https://www.triphobo.com/tripplans/portland-trip-from-arroyo-grande-559b1f4df9c2e5874e000b39,605,9 Days,Trip to Portland
https://www.triphobo.com/tripplans/united-states-itinerary-from-adelaide-5689f1d385e48212130003d1,594,30 Days,"Trip to Las Vegas, San Diego, New Orleans, Seattle, Los Angeles, New York City, Orlando, San Francisco, Portland"
https://www.triphobo.com/tripplans/canada-united-states-itinerary-from-new-york-city-56bc6df3904719f643000fd1,584,34 Days,"Trip to Montreal, Seattle, Los Angeles, San Francisco, Vancouver, Chicago, Toronto, Banff, Portland, Calgary"
https://www.triphobo.com/tripplans/portland-trip-plan-55b8dfe5521f71e90c000d21,570,8 Days,Trip to Portland
https://www.triphobo.com/tripplans/portland-trip-from-phoenix-5592e1cbf9c2e5a6550004d8,550,7 Days,Trip to Portland
https://www.triphobo.com/tripplans/denver-portland-seattle-itinerary-from-chicago-5705b2d28427a5010d0005ed,515,15 Days,"Trip to Seattle, Portland, Denver"
