url,views,days,name
https://www.triphobo.com/tripplans/san-diego-itinerary-7-days,40561,7 Days,San Diego Itinerary 7 Days
https://www.triphobo.com/tripplans/san-diego-itinerary-4-days,40377,4 Days,San Diego Itinerary 4 Days
https://www.triphobo.com/tripplans/san-diego-itinerary-3-days,40310,3 Days,San Diego Itinerary 3 Days
https://www.triphobo.com/tripplans/7-day-trip-from-las-vegas-nevada-to-san-francisco-California-usa,6574,7 Days,7 Days Trip to United States
https://www.triphobo.com/tripplans/los-angeles-trip-from-sydney-5513deb20c1d0a581c0000de,2135,20 Days,Trip to Los Angeles
https://www.triphobo.com/tripplans/united-states-trip-from-kochi-552bc060fbc2e5b1680002b7,1710,20 Days,"Trip to Las Vegas, San Diego, Los Angeles, Orlando, San Francisco"
https://www.triphobo.com/tripplans/san-francisco-san-diego-trip-from-new-york-city-54ec13bafbc2e55136000e82,1580,17 Days,"Trip to San Diego, San Francisco"
https://www.triphobo.com/tripplans/dublin-itinerary-53691face70545e743000006,1240,5 Days,California
https://www.triphobo.com/tripplans/united-states-itinerary-539b77f0e70545c277000025,1217,7 Days,"Trip to Los angeles, San diego, San francisco"
https://www.triphobo.com/tripplans/asia-europe-north-america-trip-plan-557ea1f3f8c2e55047000000,1215,19 Days,Trip around the world 
https://www.triphobo.com/tripplans/united-states-trip-from-bangalore-55217dce0c1d0a040d000000,1195,14 Days,"Trip to Las Vegas, San Diego, Los Angeles, San Francisco, Monterey, Santa Barbara"
https://www.triphobo.com/tripplans/united-states-trip-from-denver-5511b231fbc2e55827000524,1183,15 Days,"Trip to Las Vegas, Salt Lake City, San Diego, Los Angeles, Denver"
https://www.triphobo.com/tripplans/los-angeles-itinerary-53bf2264e70545f80100001c,1147,6 Days,Trip to Los angeles
https://www.triphobo.com/tripplans/canada-united-states-trip-from-vigo-55dc3509cd2e07806f000300,1147,15 Days,"Trip to San Diego, Seattle, Los Angeles, San Francisco, Vancouver, Portland"
https://www.triphobo.com/tripplans/port-elizabeth-aarhus-trip-from-harlingen-54f77a64f9c2e5d81b0002e4,1142,10 Days,"Trip to Aarhus, Port Elizabeth"
https://www.triphobo.com/tripplans/san-diego-itinerary-538e5aece70545b662000010,1096,5 Days,Trip to San diego
https://www.triphobo.com/tripplans/united-states-trip-from-los-angeles-557763ecfac2e5e55e000be2,1072,15 Days,"Trip to Las Vegas, San Diego, Los Angeles, San Francisco, Monterey, Naples, South Lake Tahoe"
https://www.triphobo.com/tripplans/north-america-europe-oceania-trip-from-sacramento-558d852ffac2e52c1e000040,1039,19 Days,"Trip to Paris, Las Vegas, Venice, Miami, San Diego, New York City, Orlando, Whitianga"
https://www.triphobo.com/tripplans/san-diego-itinerary-5399c5e1e70545b83a00000d,1030,6 Days,Trip to San diego
