url,views,days,name
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-salt-lake-city-55b91c3b1aa23c520a000f29,1880,20 Days,"20 Day Trip to Australia, New Zealand from Salt Lake City"
https://www.triphobo.com/tripplans/asia-oceania-europe-itinerary-from-toronto-567730d38427a5b1300000dd,1870,34 Days,"Trip to Paris, Sydney, Kuala Lumpur, Munich, Beijing, Auckland, Dubai"
https://www.triphobo.com/tripplans/sydney-cairns-uluru-trip-from-los-angeles-55010010fbc2e5e72e000976,1518,15 Days,"Trip to Sydney, Cairns, Uluru"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-sydney-55558cedf9c2e5497d000cfc,1514,20 Days,"Trip to Paris, Rome, Vienna, London, Sydney, Athens, Dublin, Dusseldorf, Copenhagen, Warsaw"
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-kolkata-55754715fbc2e5672c0004e3,1471,18 Days,"18 Day Trip to Australia, New Zealand from Kolkata"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-sydney-5553ca87fac2e57058000930,1377,20 Days,"Trip to Paris, Rome, Venice, London, Sydney, Munich, Milan, Barcelona, Prague, Lisbon"
https://www.triphobo.com/tripplans/africa-asia-oceania-itinerary-from-athens-568ad3f969ab715757000aec,1252,30 Days,"Trip to Singapore, Tokyo, Agra, Cairo, Nairobi, Perth, Sydney, Kuala Lumpur, Dubai, Devonport"
https://www.triphobo.com/tripplans/australia-hong-kong-trip-from-mumbai-5588fab7fac2e5986b0004b3,1220,16 Days,"Trip to Sydney, Cairns, Brisbane, Alice Springs, Hong Kong"
https://www.triphobo.com/tripplans/sydney-2-day-tour,1157,2 Days,Sydney 2 Day Tour
https://www.triphobo.com/tripplans/australia-new-zealand-fiji-trip-from-delhi-55862b5dfac2e54f04000da9,1097,14 Days,"Trip to Sydney, Cairns, Queenstown, Rotorua, Auckland, Coffs Harbour, Rockhampton, Suva, Nadi"
https://www.triphobo.com/tripplans/australia-trip-from-london-55d86d31f3a73d42780006ab,1095,16 Days,"Trip to Melbourne, Perth, Sydney, Hamilton Island"
https://www.triphobo.com/tripplans/sydney/itinerary-from-san-francisco-56bcc0478e01e3e30a000001,985,24 Days,Trip to Sydney
https://www.triphobo.com/tripplans/australia-new-zealand-india-trip-from-mumbai-55bb7a7800fc94470800037d,972,14 Days,"Trip to Mumbai, Melbourne, Sydney, Brisbane, Queenstown, Rotorua, Auckland, Christchurch"
https://www.triphobo.com/tripplans/europe-asia-oceania-trip-from-san-jose-55a91ada00fc946d300006b4,959,15 Days,"Trip to Paris, Venice, Vienna, London, Bangkok, Sydney, Munich, Lisbon, Dubai, Santorini"
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-los-angeles-55175d10fbc2e5e364000b87,903,7 Days,"Trip to Melbourne, Perth, Sydney, Brisbane, Queenstown, Auckland, Christchurch"
https://www.triphobo.com/tripplans/world-tour-trip-from-chicago-55d113f5a5e4d00e350000e3,899,20 Days,"Trip to Tokyo, Venice, Cairo, Delhi, Sydney, Beijing, Auckland, Dubai"
https://www.triphobo.com/tripplans/australia-new-zealand-trip-from-delhi-55e3ff8d60acdc5d05000019,897,16 Days,"Trip to Melbourne, Sydney, Queenstown, Rotorua, Christchurch, Gold Coast, Hamilton Island"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-sydney-5524b4ea0c1d0a0b0d000115,886,16 Days,"Trip to Rome, Vienna, Sydney, Dubrovnik"
https://www.triphobo.com/tripplans/australia-itinerary-from-mumbai-568c033385e48244480011bd,856,13 Days,"Trip to Melbourne, Sydney, Cairns, Brisbane, Gold Coast, Hervey Bay, Surfers Paradise"
https://www.triphobo.com/tripplans/australia-itinerary-from-mumbai-567295928427a5bd02000adf,712,12 Days,"Trip to Melbourne, Adelaide, Sydney, Brisbane, Gold Coast, Newcastle"
https://www.triphobo.com/tripplans/sydney/itinerary-from-madison-5690971e9bd33e4a6a000b0e,685,32 Days,Trip to Sydney
https://www.triphobo.com/tripplans/australia-new-zealand-itinerary-from-delhi-567652ec85e482226c000321,675,11 Days,"Trip to Sydney, Queenstown, Auckland, Gold Coast"
https://www.triphobo.com/tripplans/new-zealand-australia-itinerary-from-delhi-568d4eb99bd33e651a0000e4,664,15 Days,"Trip to Sydney, Brisbane, Auckland, Wellington"
https://www.triphobo.com/tripplans/australia-new-zealand-itinerary-from-san-francisco-569581a79bd33e4a52000dcc,648,16 Days,"Trip to Melbourne, Sydney, Cairns, Queenstown, Auckland"
https://www.triphobo.com/tripplans/sydney-hobart-trip-plan-54982be96162636465666768,645,4 Days,"Trip to Sydney, Hobart"
https://www.triphobo.com/tripplans/world-tour-trip-from-jakarta-558d3a95fac2e57c610003ee,636,10 Days,"Trip to Singapore, London, Los Angeles, Melbourne, Perth, Sydney, Kuala Lumpur, Hong Kong, Byron Bay, Bali"
https://www.triphobo.com/tripplans/asia-europe-oceania-trip-from-sydney-55595eb3fac2e5e458000a97,614,20 Days,"Trip to Singapore, Sydney, Athens, Istanbul, Dubai, Frankfurt"
