url,views,days,name
https://www.triphobo.com/tripplans/united-states-canada-itinerary-52de0a9ae705459d40000000,3516,16 Days,"Trip to Boston, New york city, Washington, d. c., Orlando, Miami, Toronto, Chicago"
https://www.triphobo.com/tripplans/toronto-itinerary-5308a636e705452f43000001,3030,14 Days,14 Day Trip to Toronto
https://www.triphobo.com/tripplans/canada-united-states-trip-from-montreal-55f5968c9047198f6700013a,2950,60 Days,"60 Day Trip to Canada, United States from Montreal"
https://www.triphobo.com/tripplans/canada-trip-from-vancouver-552c0389f9c2e56368000386,2046,20 Days,20 Day Trip to Canada from Vancouver
https://www.triphobo.com/tripplans/toronto-10-days-trip,1951,10 Days,10 Day Trip to Toronto
https://www.triphobo.com/tripplans/toronto-3-day-itinerary,1639,3 Days,3 Day Trip To Toronto
https://www.triphobo.com/tripplans/toronto-itinerary-531d69f1e70545b00a000001,1459,9 Days,9 Day Trip to Toronto
https://www.triphobo.com/tripplans/united-states-canada-india-trip-from-delhi-552ca20efbc2e5cf680009e6,1382,17 Days,"Trip to Las Vegas, Los Angeles, New York City, San Francisco, Delhi, Toronto"
https://www.triphobo.com/tripplans/toronto-trip-from-dhaka-547856fff9c2e53d24000136,1349,16 Days,Trip to Toronto
https://www.triphobo.com/tripplans/san-francisco-toronto-vancouver-trip-from-auckland-552dc38ffbc2e59e1a00139a,1321,19 Days,"Trip to San Francisco, Vancouver, Toronto"
https://www.triphobo.com/tripplans/world-tour-itinerary-5682598685e482073b000509,1318,59 Days,"Trip to Paris, Singapore, Rio De Janeiro, Cairo, London, New York City, Lima, Mexico City, Toronto, Dubai"
https://www.triphobo.com/tripplans/toronto-trip-from-sterling-heights-549099c30c1d0a3c3c000ffa,1263,14 Days,Trip to Toronto
https://www.triphobo.com/tripplans/united-states-canada-itinerary-5330695ce70545175d000004,1211,10 Days,"Trip to Boston, New york city, Washington, d. c., Orlando, Miami, Toronto, Chicago"
https://www.triphobo.com/tripplans/port-elizabeth-aarhus-trip-from-harlingen-54f77a64f9c2e5d81b0002e4,1142,10 Days,"Trip to Aarhus, Port Elizabeth"
https://www.triphobo.com/tripplans/canada-trip-from-toronto-5501090bfbc2e5e62e0008ce,1128,10 Days,"Trip to Montreal, Toronto, Quebec, Halifax"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cb3ea200fc94627100004d,1100,15 Days,Trip to 
https://www.triphobo.com/tripplans/toronto-trip-from-dhaka-54785a3c0c1d0a2c44000165,1072,13 Days,Trip to Toronto
https://www.triphobo.com/tripplans/world-tour-itinerary-from-delhi-568a66edfea23c272c000111,1072,33 Days,"Trip to Buenos Aires, Rio De Janeiro, London, Casablanca, New York City, Santiago, Toronto, San Juan, Marrakesh"
https://www.triphobo.com/tripplans/vancouver-calgary-toronto-trip-from-vancouver-55a4d88add2a9e064d00002e,1056,20 Days,Canada 2015
https://www.triphobo.com/tripplans/toronto-new-york-city-los-angeles-trip-from-halifax-553866d0fbc2e50549000c07,1033,12 Days,Do Before I Die
https://www.triphobo.com/tripplans/world-tour-itinerary-from-brighton-56f2098e8427a57b44000d7c,977,37 Days,"Trip to Paris, Berlin, Tokyo, New York City, Sydney, Moscow, Beijing, Stockholm, Reykjavik, Toronto"
https://www.triphobo.com/tripplans/north-america-europe-trip-from-mexico-city-55d74e33f3a73d747f000205,971,18 Days,"Trip to Paris, Rome, Venice, London, Florence, Milan, Pisa, Barcelona, Prague, Toronto"
https://www.triphobo.com/tripplans/toronto-osaka-trip-from-jakarta-5527b8d30c1d0a12590001d3,967,7 Days,"Trip to Toronto, Osaka"
https://www.triphobo.com/tripplans/world-tour-itinerary-from-grand-canyon-village-562ff5cf8527a50c7500041b,958,47 Days,"Trip to Paris, Singapore, Tokyo, Venice, London, Sydney, Athens, Toronto, Dubai"
https://www.triphobo.com/tripplans/new-york-city-toronto-trip-from-edinburgh-54baa094fbc2e5e421000526,935,9 Days,"Trip to New york city, Toronto"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-miami-5502ab9a0c1d0a8427000016,925,20 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, San Francisco, Vancouver, Chicago, Toronto, Honolulu"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cdea9ef3a73d7c51000002,924,15 Days,Trip to 
https://www.triphobo.com/tripplans/united-states-canada-trip-from-adelaide-55e05570cd2e07174a000715,913,20 Days,"Trip to Washington D. C., Seattle, Chicago, Toronto, Minneapolis, Des Moines, Calgary, Winnipeg, Yellowstone National Park, Regina"
https://www.triphobo.com/tripplans/canada-united-states-china-trip-from-guangzhou-559cfec3f9c2e56728000223,908,14 Days,"Trip to Miami, Washington D. C., New York City, Toronto, Guangzhou"
https://www.triphobo.com/tripplans/toronto-trip-from-dhaka-54787061f9c2e5342400022b,886,11 Days,Trip to Toronto
https://www.triphobo.com/tripplans/united-states-canada-trip-from-new-york-city-55cb9294900670d8050000d7,851,15 Days,Trip to 
https://www.triphobo.com/tripplans/toronto-itinerary-53b3c7c9e70545462a00000b,843,5 Days,asd
https://www.triphobo.com/tripplans/toronto-itinerary-5304ea73e70545b95f000001,841,8 Days,Trip to Toronto
https://www.triphobo.com/tripplans/canada-united-states-india-trip-from-mumbai-55be0300531f71050500035d,799,13 Days,"Trip to Mumbai, Washington D. C., New York City, Orlando, Toronto"
https://www.triphobo.com/tripplans/10-great-things-to-do-in-toronto,796,2 Days,10 Great Things To Do In Toronto
