url,views,days,name
https://www.triphobo.com/tripplans/canada-united-states-trip-from-montreal-55f5968c9047198f6700013a,2950,60 Days,"60 Day Trip to Canada, United States from Montreal"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-delhi-54fbe75ef9c2e529650000a3,1740,16 Days,"16 Day Trip to United States, Canada from Delhi"
https://www.triphobo.com/tripplans/seattle-vancouver-trip-from-san-francisco-550cb5fdfbc2e5716f000694,1454,12 Days,"12 Day Trip to Seattle, Vancouver from San Francisco"
https://www.triphobo.com/tripplans/vancouver-trip-from-mississauga-552ddb10e70545985d000635,1365,19 Days,Trip to Vancouver
https://www.triphobo.com/tripplans/san-francisco-toronto-vancouver-trip-from-auckland-552dc38ffbc2e59e1a00139a,1321,19 Days,"Trip to San Francisco, Vancouver, Toronto"
https://www.triphobo.com/tripplans/calgary-vancouver-seattle-trip-from-windsor-54fcbb1efbc2e57f1b0004ee,1286,15 Days,"15 Day Trip to Calgary, Vancouver, Seattle from Windsor"
https://www.triphobo.com/tripplans/vancouver-1-day-tour-itinerary,1180,1 Day,1 Day Trip to Vancouver
https://www.triphobo.com/tripplans/canada-united-states-trip-from-vigo-55dc3509cd2e07806f000300,1147,15 Days,"Trip to San Diego, Seattle, Los Angeles, San Francisco, Vancouver, Portland"
https://www.triphobo.com/tripplans/vancouver-calgary-toronto-trip-from-vancouver-55a4d88add2a9e064d00002e,1056,20 Days,Canada 2015
https://www.triphobo.com/tripplans/canada-united-states-trip-from-auckland-55e26fd0900670df3c00014a,1038,20 Days,"Trip to Washington D. C., New York City, Vancouver, Victoria"
https://www.triphobo.com/tripplans/toronto-new-york-city-los-angeles-trip-from-halifax-553866d0fbc2e50549000c07,1033,12 Days,Do Before I Die
https://www.triphobo.com/tripplans/united-states-canada-trip-from-miami-5502ab9a0c1d0a8427000016,925,20 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, San Francisco, Vancouver, Chicago, Toronto, Honolulu"
