url,views,days,name
https://www.triphobo.com/tripplans/3-day-venice-vienna-tour-itinerary,2714,3 Days,Highlights of Venice And Vienna
https://www.triphobo.com/tripplans/3-day-trip-to-rome-venice,1633,3 Days,"3 Day Trip to Rome, Venice"
https://www.triphobo.com/tripplans/5-day-best-of-italy-tour-itinerary,1529,5 Days,The Taste of Italy
https://www.triphobo.com/tripplans/paris-venice-trip-from-new-york-city-54ea74530c1d0acc6300047c,1063,11 Days,"Trip to Paris, Venice"
https://www.triphobo.com/tripplans/italy-trip-from-mumbai-55ce5fc0f3a73d7951000203,837,10 Days,"Trip to Rome, Venice, Florence, Milan, Pisa, Naples, Padua, Siena, Catania, Positano"
https://www.triphobo.com/tripplans/italy-trip-from-geneva-556b3d65f9c2e5731b000226,674,9 Days,"Trip to Rome, Venice, Florence, Milan, Turin, Pisa, Naples"
https://www.triphobo.com/tripplans/venice-florence-milan-itinerary-52bfc90fe70545173b000003,670,5 Days,The Taste of Italy
https://www.triphobo.com/tripplans/italy-trip-plan-5590708cf9c2e5f955000858,666,9 Days,"Trip to Rome, Venice, Verona, Milan, Como, Genoa"
https://www.triphobo.com/tripplans/italy-switzerland-france-trip-from-bangalore-556ec613fac2e5e57100001f,606,6 Days,"Trip to Paris, Rome, Venice, Florence, Milan, Zurich"
https://www.triphobo.com/tripplans/oceania-asia-europe-trip-plan-54c73396fbc2e53c7d000092,596,6 Days,"Trip to Rome, Venice, Bangkok, Queenstown, Reykjavik, Palermo"
https://www.triphobo.com/tripplans/venice-trip-from-toronto-55301d80fbc2e5ad07000711,552,17 Days,Trip to Venice
https://www.triphobo.com/tripplans/como-palermo-venice-trip-from-san-diego-555b8b82fbc2e54130000369,540,9 Days,"Trip to Venice, Como, Palermo"
https://www.triphobo.com/tripplans/italy-trip-from-milan-55bfed4619a23cde110009c2,540,7 Days,"Trip to Rome, Venice, Florence, Pisa, Naples, Capri"
https://www.triphobo.com/tripplans/naples-florence-venice-trip-from-rome-54fc41adfbc2e5761b000186,531,7 Days,"Trip to Venice, Florence, Naples"
https://www.triphobo.com/tripplans/italy-greece-trip-from-dallas-55c41baf531f712b750004db,531,11 Days,"Trip to Rome, Venice, Athens, Crete"
https://www.triphobo.com/tripplans/europe-trip-from-melbourne-55eb4a2839163ce405000b65,523,17 Days,"Trip to Paris, Venice, London, Athens, Larnaca"
https://www.triphobo.com/tripplans/venice-trip-from-mumbai-5465cb25f9c2e5914a000053,516,1 Day,Venice One Day Tour
https://www.triphobo.com/tripplans/milan-zermatt-venice-trip-from-singapore-55962645fac2e57b54000e49,511,8 Days,"Trip to Venice, Milan, Zermatt"
https://www.triphobo.com/tripplans/italy-greece-trip-from-dallas-55c41de1521f71470a0004b3,499,11 Days,"Trip to Rome, Venice, Athens, Crete"
https://www.triphobo.com/tripplans/venice-vienna-itinerary-52e20d2fe705451019000000,474,3 Days,Highlights of Venice And Vienna
https://www.triphobo.com/tripplans/italy-trip-from-rome-5596a4c9fbc2e54258000538,470,8 Days,"Trip to Rome, Venice, Florence, Pompeii, Capri"
https://www.triphobo.com/tripplans/rome-venice-itinerary-5333deb8e705457d05000002,462,3 Days,"Trip to Rome, Venice"
