url,views,days,name
https://www.triphobo.com/tripplans/vienna-itinerary-7-days,129913,7 Days,Vienna Itinerary 7 Days - Magical Experience
https://www.triphobo.com/tripplans/vienna-itinerary-5-days,98197,5 Days,Vienna Itinerary 5 Days 
https://www.triphobo.com/tripplans/vienna-itinerary-1-day,92544,1 Day,Vienna Itinerary 1 Day
https://www.triphobo.com/tripplans/vienna-itinerary-6-days,64692,6 Days,Vienna Itinerary 6 Days
https://www.triphobo.com/tripplans/vienna-itinerary-4-days,45812,4 Days,Vienna Itinerary 4 Days
https://www.triphobo.com/tripplans/2-day-trip-for-vienna,3875,2 Days,Vienna 2 Days
https://www.triphobo.com/tripplans/3-day-venice-vienna-tour-itinerary,2714,3 Days,Highlights of Venice And Vienna
https://www.triphobo.com/tripplans/europe-asia-trip-from-minneapolis-54cfa5ece705456f3a0000cc,2585,20 Days,"20 Day Trip to Europe, Asia from Minneapolis"
https://www.triphobo.com/tripplans/europe-trip-from-atlanta-54d13f8a0c1d0a151f0000ca,2551,20 Days,20 Day Trip to Europe from Atlanta
https://www.triphobo.com/tripplans/europe-trip-from-dublin-55087c02f9c2e57e180000b3,2086,20 Days,"Trip to Paris, Berlin, Rome, Venice, Vienna, London, Florence, Nice"
https://www.triphobo.com/tripplans/europe-trip-from-london-550e6528f9c2e50749000103,2035,20 Days,"Trip to Paris, Rome, Venice, Vienna, Munich, Monaco, Pisa, Bern, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-singapore-550bb6b8fbc2e5b740000add,1939,18 Days,18 Day Trip to Europe from Singapore
https://www.triphobo.com/tripplans/europe-trip-from-london-5524f6dffbc2e558420010c4,1913,20 Days,"Trip to Paris, Berlin, Vienna, London, Bruges, Brussels, Zurich, Amsterdam, Prague"
https://www.triphobo.com/tripplans/europe-asia-north-america-trip-from-houston-54c175fbe70545121d0000dc,1908,17 Days,"Trip to Vienna, Houston, Istanbul, Bilbao, Valencia, Madrid, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-frankfurt-54e6f60afbc2e54928000f8d,1819,18 Days,"Trip to Salzburg, Vienna, Munich, Athens, Barcelona, Madrid, Prague, Stuttgart, Budapest, Mykonos"
https://www.triphobo.com/tripplans/europe-trip-from-delhi-559c33ecfac2e56b38000c8a,1781,20 Days,"Trip to Berlin, Vienna, Stockholm, Prague, Oslo, Helsinki, Krakow, Copenhagen, Budapest, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-london-550fe54bfbc2e5f24a000b00,1701,17 Days,"Trip to Berlin, Salzburg, Vienna, Munich, Bruges, Athens, Zurich, Amsterdam, Dresden"
https://www.triphobo.com/tripplans/europe-trip-from-paris-55370acefbc2e51303000a06,1687,19 Days,"Trip to Berlin, Rome, Venice, Vienna, Florence, Munich, Nice, Pisa, Barcelona, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-singapore-550bb0e0fbc2e5bd40000b31,1671,15 Days,15 Day Trip to Europe from Singapore
https://www.triphobo.com/tripplans/europe-trip-from-bogota-552335fbf9c2e58b0d000133,1638,20 Days,"Trip to Paris, Berlin, Venice, Vienna, Cologne, Bologna, Budapest, Warsaw"
https://www.triphobo.com/tripplans/europe-trip-from-washington-d-c-55620bfdfbc2e56444000604,1634,20 Days,"Trip to Paris, Rome, Venice, Vienna, London, Florence, Brussels, Naples, Amsterdam, Prague"
https://www.triphobo.com/tripplans/europe-north-america-trip-from-boston-5515cbb4e70545154d0000e4,1601,17 Days,"Trip to Berlin, Vienna, Boston, Prague, Budapest"
https://www.triphobo.com/tripplans/austria-czech-republic-germany-trip-from-geneva-54c93b2efbc2e5620f0007a7,1597,14 Days,14 Day Trip to Europe from Geneva
https://www.triphobo.com/tripplans/europe-trip-from-london-55d1e51ca5e4d0094d00018a,1574,20 Days,"Trip to Salzburg, Vienna, Munich, Amsterdam, Nuremberg, Budapest, Frankfurt, Hallstatt, Trier"
https://www.triphobo.com/tripplans/europe-oceania-trip-from-sydney-55558cedf9c2e5497d000cfc,1514,20 Days,"Trip to Paris, Rome, Vienna, London, Sydney, Athens, Dublin, Dusseldorf, Copenhagen, Warsaw"
https://www.triphobo.com/tripplans/austria-hungary-czech-republic-trip-from-munich-555318b1f9c2e56e38000051,1463,20 Days,"Trip to Salzburg, Vienna, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-paris-5593e642fbc2e5af7400024d,1451,19 Days,"Trip to Paris, Berlin, Vienna, Munich, Geneva, Stockholm, Prague, Copenhagen, Lucerne"
https://www.triphobo.com/tripplans/belgium-germany-austria-trip-plan-54e4d3d7fbc2e5436d0006b9,1420,12 Days,"Trip to Vienna, Munich, Brussels, Stuttgart"
https://www.triphobo.com/tripplans/budapest-vienna-prague-trip-plan-54f6e123fbc2e59354000076,1419,14 Days,"Trip to Vienna, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-ljubljana-55d0b667900670041a0001be,1400,19 Days,"Trip to Paris, Berlin, Rome, Vienna, London, Brussels, Barcelona, Amsterdam, Prague, Copenhagen"
https://www.triphobo.com/tripplans/europe-trip-plan-555b24fcf9c2e59849000196,1393,15 Days,"Trip to Vienna, Amsterdam, Prague, Dresden, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-edmonton-556ddc44f9c2e5897c0004a9,1375,20 Days,"Trip to Rome, Venice, Vienna, Turin, Pisa, Bern, Budapest"
https://www.triphobo.com/tripplans/italy-austria-czech-republic-trip-from-delhi-55a38fccfac2e5465900006f,1373,15 Days,"Trip to Rome, Venice, Salzburg, Vienna, Florence, Naples, Prague, Innsbruck, Positano, Amalfi"
https://www.triphobo.com/tripplans/europe-trip-from-seville-55cf77e7a6e4d0bd4d0005a1,1349,18 Days,"Trip to Paris, Berlin, Venice, Vienna, Florence, Brussels, Barcelona, Amsterdam, Prague, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-lima-5529ddb3e705455c070002a3,1326,13 Days,eurotrip parte 1 06.11-20.11
https://www.triphobo.com/tripplans/vienna-itinerary-52c3f5f9e70545d772000000,1314,5 Days,Vienna Itinerary 5 Days
https://www.triphobo.com/tripplans/europe-trip-from-brisbane-55a710374615a7b90500038a,1312,20 Days,"Trip to Salzburg, Vienna, London, Munich, Edinburgh, Amsterdam, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-tokyo-55740268f9c2e5cd14000495,1305,17 Days,"Trip to Tokyo, Vienna, Prague, Dubrovnik, Zagreb, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-montreal-55a95deaef616e1023000a18,1290,20 Days,"Trip to Berlin, Venice, Vienna, Milan, Barcelona, Madrid, Amsterdam, Prague, Zagreb, Budapest"
https://www.triphobo.com/tripplans/europe-trip-from-landstuhl-55183215fbc2e5341f00006f,1262,13 Days,"Trip to Vienna, Brussels, Amsterdam, Lucerne"
