url,views,days,name
https://www.triphobo.com/tripplans/united-states-canada-trip-from-bangalore-54ed74b8f9c2e56504000088,2859,20 Days,"20 Day Trip to United States, Canada from Bangalore"
https://www.triphobo.com/tripplans/united-states-trip-from-adelaide-55b1ad694715a7e54a0005ec,1639,20 Days,"Trip to Las Vegas, Albuquerque, Washington D. C., Atlanta, Dallas, New Orleans, Los Angeles, New York City, San Francisco, Phoenix"
https://www.triphobo.com/tripplans/3-day-washington-dc-new-york-tour-itinerary,1557,3 Days,From D.C to NYC
https://www.triphobo.com/tripplans/united-states-trip-from-bangalore-55943cc6fac2e5d4070007af,1505,20 Days,20 Day Trip to United States from Bangalore
https://www.triphobo.com/tripplans/canada-united-states-trip-from-delhi-55732240fac2e5f32600063b,1491,15 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, San Francisco, Niagara Falls"
https://www.triphobo.com/tripplans/united-states-bahamas-cuba-trip-from-mumbai-55a3c71df8c2e54e6800053f,1490,20 Days,"Trip to Miami, Washington D. C., New York City, Orlando, Boston, Havana, Freeport"
https://www.triphobo.com/tripplans/united-states-trip-from-houston-558359d8fac2e5870e000946,1438,20 Days,"Trip to Miami, Washington D. C., Philadelphia, New York City, Orlando, Houston, Boston, Chicago, Atlantic City"
https://www.triphobo.com/tripplans/new-york-city-washington-d-c-trip-from-delhi-54eae25dfbc2e5967a0010f7,1430,15 Days,"Trip to Washington D. C., New York City"
https://www.triphobo.com/tripplans/united-states-trip-from-mumbai-556410c2f9c2e54a0a00019c,1313,20 Days,"Trip to Las Vegas, Miami, Washington D. C., Philadelphia, Los Angeles, New York City, Boston"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-houston-55be5b07531f7102050003fe,1230,19 Days,"Trip to Miami, Washington D. C., New York City, Orlando, Boston, Chicago, Niagara Falls"
https://www.triphobo.com/tripplans/united-states-trip-from-ahmedabad-55b270f84715a7bd3c0011ac,1227,20 Days,"Trip to Las Vegas, Miami, Washington D. C., Los Angeles, New York City, Orlando, San Francisco, Boston"
https://www.triphobo.com/tripplans/united-states-trip-plan-55cc95d200fc94c2710005c9,1218,19 Days,"Trip to Las Vegas, Washington D. C., New Orleans, Los Angeles, New York City, Nashville"
https://www.triphobo.com/tripplans/united-states-canada-itinerary-5330695ce70545175d000004,1211,10 Days,"Trip to Boston, New york city, Washington, d. c., Orlando, Miami, Toronto, Chicago"
https://www.triphobo.com/tripplans/united-states-trip-from-johannesburg-55d1e31ff3a73d210f000686,1191,19 Days,"Trip to Las Vegas, Miami, Washington D. C., Philadelphia, Dallas, Los Angeles, New York City, Chicago"
https://www.triphobo.com/tripplans/united-states-trip-from-sydney-55741f1afac2e54b60000178,1186,20 Days,"Trip to Las Vegas, Washington D. C., Dallas, New Orleans, Los Angeles, New York City, San Francisco, Honolulu, Yosemite National Park, Memphis"
https://www.triphobo.com/tripplans/washington-dc-two-day-itinerary,1156,2 Days,Treasured Monuments And Memorials - Washington DC
https://www.triphobo.com/tripplans/united-states-canada-trip-from-mumbai-559be05ffbc2e5822500055e,1145,17 Days,"Trip to Washington D. C., New York City, Boston, Chicago, Niagara Falls"
https://www.triphobo.com/tripplans/austin-washington-d-c-minneapolis-trip-from-long-beach-5545656bfbc2e5f8700005b2,1113,20 Days,"Trip to Austin, Washington D. C., Minneapolis"
https://www.triphobo.com/tripplans/united-kingdom-united-states-trip-from-lahore-55a3c291fbc2e5485f000360,1100,19 Days,"Trip to Baltimore, Washington D. C., London, New York City, Glasgow, Boston, Manchester, Blackpool, Virginia Beach"
https://www.triphobo.com/tripplans/washington-dc-itinerary-7-days,1069,7 Days,Washington dc Itinerary 7 Days
https://www.triphobo.com/tripplans/united-states-trip-from-ahmedabad-55b2622b00fc94c55d0002c9,1001,20 Days,"Trip to Las Vegas, Miami, Washington D. C., Los Angeles, New York City, Orlando, San Francisco, Boston"
https://www.triphobo.com/tripplans/united-states-trip-from-new-york-city-557884b6fac2e5ac610000d7,997,20 Days,"Trip to Salt Lake City, Washington D. C., Atlanta, Seattle, Denver, Richmond"
https://www.triphobo.com/tripplans/united-states-canada-trip-plan-5576153dfac2e54f26000f03,989,20 Days,"Trip to Washington D. C., New York City, Boston, Niagara Falls"
https://www.triphobo.com/tripplans/new-york-city-washington-d-c-itinerary-536edcbbe70545673b000000,979,7 Days,"Trip to New York City Washington, D. C."
https://www.triphobo.com/tripplans/united-states-trip-from-sydney-55f4cc588527a5a240000077,978,35 Days,35 Day Trip to United States from Sydney
https://www.triphobo.com/tripplans/europe-asia-north-america-trip-from-jakarta-5589281cf9c2e5641000001d,957,10 Days,"Trip to Paris, Tokyo, Washington D. C., London, Los Angeles, New York City, San Francisco, Beijing, Versailles, Frankfurt"
https://www.triphobo.com/tripplans/new-york-city-washington-d-c-boston-itinerary-53adb7cbf9c2e5500b000044,948,6 Days,"Trip to New york city, Washington, d. c., Boston"
https://www.triphobo.com/tripplans/united-states-trip-from-mumbai-55cb470a00fc94b17100002f,940,18 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, Orlando, San Francisco"
https://www.triphobo.com/tripplans/san-francisco-dallas-new-york-city-trip-from-adelaide-55b199adef616e802e000710,939,18 Days,"Trip to Dallas, New York City, San Francisco"
https://www.triphobo.com/tripplans/united-states-canada-trip-from-miami-5502ab9a0c1d0a8427000016,925,20 Days,"Trip to Las Vegas, Washington D. C., Los Angeles, New York City, San Francisco, Vancouver, Chicago, Toronto, Honolulu"
https://www.triphobo.com/tripplans/united-states-trip-from-new-york-city-55716005f9c2e567290001f6,908,20 Days,"Trip to Las Vegas, Washington D. C., New Orleans, Los Angeles, New York City, San Francisco, Chicago"
https://www.triphobo.com/tripplans/canada-united-states-china-trip-from-guangzhou-559cfec3f9c2e56728000223,908,14 Days,"Trip to Miami, Washington D. C., New York City, Toronto, Guangzhou"
https://www.triphobo.com/tripplans/united-states-itinerary-from-sydney-567912038427a5dd14000975,898,39 Days,"Trip to Las Vegas, Washington D. C., San Diego, New Orleans, Los Angeles, New York City, San Francisco, Chicago, Charleston, Palm Springs"
